1735689600000000,3337.78000000,3365.71000000,3335.84000000,3363.70000000,8894.44440000,1735693199999999,29821272.00821100,54290,5447.53240000,18265028.78115900,0
1735693200000000,3363.69000000,3366.40000000,3342.67000000,3346.54000000,6138.13760000,1735696799999999,20594980.61514600,46722,3381.62760000,11348564.27375700,0
1735696800000000,3346.54000000,3368.42000000,3346.35000000,3362.61000000,8775.81000000,1735700399999999,29461419.59132500,44926,4749.99900000,15945033.48632400,0
1735700400000000,3362.61000000,3363.72000000,3351.00000000,3355.20000000,4025.46460000,1735703999999999,13514045.15352600,22334,2120.56090000,7118731.55192400,0
1735704000000000,3355.20000000,3356.61000000,3339.45000000,3341.14000000,4626.65060000,1735707599999999,15488161.89496900,22341,2331.67310000,7805696.97952200,0
1735707600000000,3341.14000000,3351.57000000,3340.02000000,3345.41000000,3247.06210000,1735711199999999,10867391.53346400,21388,1894.00390000,6338939.55477400,0
1735711200000000,3345.41000000,3348.00000000,3336.88000000,3346.60000000,6325.14910000,1735714799999999,21140695.62056500,25641,2074.28640000,6934002.71703300,0
1735714800000000,3346.61000000,3350.49000000,3339.35000000,3347.12000000,5869.42110000,1735718399999999,19625068.23360400,19809,3939.02530000,13171481.48967000,0
1735718400000000,3347.11000000,3348.84000000,3331.56000000,3337.01000000,8469.97510000,1735721999999999,28278767.52989600,46052,3837.93540000,12812434.75356200,0
1735722000000000,3337.00000000,3341.00000000,3313.88000000,3334.64000000,18722.69240000,1735725599999999,62229421.93514200,83422,8514.24890000,28301959.23416000,0
1735725600000000,3334.83000000,3338.82000000,3325.70000000,3326.69000000,5694.95020000,1735729199999999,18977736.86266300,37356,2123.92460000,7079453.78606000,0
1735729200000000,3326.69000000,3348.35000000,3323.71000000,3341.00000000,6732.58270000,1735732799999999,22454456.62237000,44031,4415.72420000,14726137.39143500,0
1735732800000000,3341.01000000,3352.31000000,3338.58000000,3347.46000000,5866.89530000,1735736399999999,19637051.88939300,41652,3404.93740000,11397019.59187800,0
1735736400000000,3347.46000000,3353.50000000,3332.51000000,3343.37000000,6632.23170000,1735739999999999,22160117.15103000,42125,3538.82570000,11823762.26291100,0
1735740000000000,3343.37000000,3359.37000000,3328.20000000,3345.86000000,10728.98120000,1735743599999999,35871017.64502300,92956,5302.23690000,17732886.05662600,0
1735743600000000,3345.86000000,3355.91000000,3333.42000000,3352.93000000,7671.63200000,1735747199999999,25666642.18971900,61491,4245.40130000,14205594.37625000,0
1735747200000000,3352.93000000,3357.19000000,3332.26000000,3338.68000000,9897.78700000,1735750799999999,33103234.85748200,80587,4475.81840000,14970001.11095100,0
1735750800000000,3338.68000000,3344.81000000,3323.03000000,3343.70000000,6245.62190000,1735754399999999,20822635.17517900,65178,3590.11830000,11971872.88997500,0
1735754400000000,3343.71000000,3352.00000000,3333.26000000,3348.57000000,7571.92470000,1735757999999999,25315460.40324700,60088,4353.21540000,14553928.91872100,0
1735758000000000,3348.57000000,3364.14000000,3337.92000000,3356.55000000,12249.52590000,1735761599999999,41051947.29254100,82872,7126.96660000,23890123.63859900,0
1735761600000000,3356.56000000,3362.60000000,3352.00000000,3360.40000000,9048.46810000,1735765199999999,30383639.19228000,49214,6017.47750000,20206221.20497100,0
1735765200000000,3360.41000000,3371.39000000,3353.76000000,3368.39000000,8283.24530000,1735768799999999,27849157.36195700,41273,4330.80910000,14562782.23958100,0
1735768800000000,3368.39000000,3374.85000000,3359.00000000,3361.63000000,12395.12350000,1735772399999999,41727676.95582700,40430,5080.95310000,17106176.97921600,0
1735772400000000,3361.63000000,3366.79000000,3352.66000000,3360.38000000,6124.80960000,1735775999999999,20571397.98140600,56041,3220.72030000,10817425.01840300,0
