1680393600000,1820.80000000,1823.61000000,1812.00000000,1813.19000000,10673.27110000,1680397199999,19398158.92773000,23730,5381.70230000,9779072.95995200,0
1680397200000,1813.19000000,1816.95000000,1811.98000000,1811.99000000,8083.53820000,1680400799999,14667207.85686300,16720,4158.98440000,7546481.08451600,0
1680400800000,1811.98000000,1814.67000000,1809.73000000,1813.77000000,11371.83280000,1680404399999,20612973.95347600,23270,6256.71850000,11340557.02578000,0
1680404400000,1813.78000000,1818.87000000,1812.11000000,1817.68000000,7694.21640000,1680407999999,13970869.94259900,20229,4418.01210000,8022683.29318000,0
1680408000000,1817.68000000,1818.67000000,1813.42000000,1814.09000000,6475.63160000,1680411599999,11758855.98106700,19801,2802.71170000,5089504.36676700,0
1680411600000,1814.08000000,1822.56000000,1813.94000000,1821.87000000,10944.14910000,1680415199999,19902196.48399000,19605,7569.02470000,13765142.89378400,0
1680415200000,1821.86000000,1824.81000000,1819.01000000,1823.09000000,6658.25510000,1680418799999,12130023.85832600,24107,3724.96820000,6786287.64652600,0
1680418800000,1823.09000000,1824.32000000,1820.16000000,1820.60000000,10413.16890000,1680422399999,18972962.62863700,27776,4963.63580000,9043856.87859400,0
1680422400000,1820.59000000,1821.01000000,1816.34000000,1818.34000000,10099.77340000,1680425999999,18367438.70269800,24303,4817.34330000,8760486.86236400,0
1680426000000,1818.34000000,1823.66000000,1818.22000000,1821.72000000,9737.88190000,1680429599999,17732642.99602600,18070,6641.47990000,12094677.84462700,0
1680429600000,1821.73000000,1822.05000000,1816.78000000,1817.17000000,7339.79510000,1680433199999,13351700.99508500,17501,3032.09260000,5515610.81193600,0
1680433200000,1817.18000000,1819.24000000,1815.25000000,1817.42000000,7300.29280000,1680436799999,13270415.42688900,16010,3801.25480000,6909979.53604500,0
1680436800000,1817.42000000,1817.89000000,1810.20000000,1813.30000000,12890.12600000,1680440399999,23382872.56913800,25091,6014.50740000,10910143.78517900,0
1680440400000,1813.30000000,1819.91000000,1805.01000000,1813.93000000,25912.80420000,1680443999999,46966209.40017300,44055,11007.19320000,19947874.93829900,0
1680444000000,1813.93000000,1817.00000000,1811.41000000,1812.84000000,7707.40430000,1680447599999,13986202.55283500,21004,3962.18080000,7190071.06886200,0
1680447600000,1812.84000000,1813.16000000,1789.10000000,1797.54000000,43812.99540000,1680451199999,78754291.24347200,66435,20744.71760000,37281471.85202200,0
1680451200000,1797.54000000,1798.69000000,1785.12000000,1795.20000000,21308.06360000,1680454799999,38213786.39479400,38009,10993.73680000,19712020.25298700,0
1680454800000,1795.19000000,1803.92000000,1795.15000000,1801.52000000,11731.17810000,1680458399999,21107039.79166700,23553,6672.04480000,12003344.77545900,0
1680458400000,1801.52000000,1802.01000000,1797.44000000,1797.70000000,7495.94770000,1680461999999,13493886.83810900,15202,3694.39920000,6650636.07592600,0
1680462000000,1797.69000000,1798.00000000,1771.70000000,1781.75000000,30210.27120000,1680465599999,53895369.58313300,47648,13305.10590000,23735578.73122500,0
1680465600000,1781.75000000,1789.67000000,1777.35000000,1788.38000000,14254.47440000,1680469199999,25421896.06477000,34167,7400.29890000,13197557.01230800,0
1680469200000,1788.37000000,1792.92000000,1783.12000000,1786.95000000,12663.41120000,1680472799999,22658060.80113400,23672,7238.78110000,12953980.92849500,0
1680472800000,1786.95000000,1793.93000000,1778.02000000,1793.41000000,17934.58980000,1680476399999,32016718.75880200,29682,9312.52100000,16625752.92484300,0
1680476400000,1793.42000000,1795.81000000,1790.86000000,1794.51000000,9409.86620000,1680479999999,16877494.41275800,18065,4679.80860000,8393748.51336600,0
