1735689600000000,3337.78000000,3349.34000000,3335.84000000,3348.50000000,1911.93380000,1735690499999999,6390517.56947900,16634,1079.11480000,3607203.99676300,0
1735690500000000,3348.51000000,3353.37000000,3347.33000000,3349.43000000,1556.90740000,1735691399999999,5215178.82352200,12166,947.31710000,3172988.51784700,0
1735691400000000,3349.43000000,3360.99000000,3349.01000000,3356.09000000,3503.66090000,1735692299999999,11756659.67273600,12616,2299.97310000,7717270.31981100,0
1735692300000000,3356.09000000,3365.71000000,3353.89000000,3363.70000000,1921.94230000,1735693199999999,6458915.94247400,12874,1121.12740000,3767565.94673800,0
1735693200000000,3363.69000000,3366.40000000,3355.00000000,3360.93000000,2063.93960000,1735694099999999,6936856.60736600,13776,1273.88740000,4282109.65845300,0
1735694100000000,3360.92000000,3360.92000000,3351.11000000,3352.79000000,1130.82310000,1735694999999999,3793787.31290100,9848,559.63170000,1877405.29603700,0
1735695000000000,3352.80000000,3358.28000000,3352.38000000,3352.46000000,1134.60650000,1735695899999999,3806769.16775900,11292,655.64980000,2199810.98709300,0
1735695900000000,3352.46000000,3354.30000000,3342.67000000,3346.54000000,1808.76840000,1735696799999999,6057567.52712000,11806,892.45870000,2989238.33217400,0
1735696800000000,3346.54000000,3354.57000000,3346.35000000,3354.32000000,1313.63160000,1735697699999999,4401911.75220000,12498,794.04930000,2660728.23996200,0
1735697700000000,3354.32000000,3354.32000000,3349.00000000,3349.94000000,1113.82520000,1735698599999999,3732560.05812600,9302,586.38620000,1965087.67371400,0
1735698600000000,3349.94000000,3360.01000000,3349.93000000,3357.78000000,3003.93910000,1735699499999999,10084971.41055100,11214,1660.91450000,5575190.40430600,0
1735699500000000,3357.79000000,3368.42000000,3354.93000000,3362.61000000,3344.41410000,1735700399999999,11241976.37044800,11912,1708.64900000,5744027.16834200,0
1735700400000000,3362.61000000,3363.72000000,3358.59000000,3359.68000000,1366.18860000,1735701299999999,4591992.25679600,6942,737.95440000,2480190.09036100,0
