1685318400000,1908.64000000,1927.62000000,1908.17000000,1914.43000000,43302.02170000,1685321999999,83023986.20832200,53291,22309.37660000,42768675.52911400,0
1685322000000,1914.43000000,1918.29000000,1912.11000000,1917.33000000,17838.75060000,1685325599999,34163626.08475200,21574,9923.49900000,19004001.86156100,0
1685325600000,1917.34000000,1919.19000000,1909.31000000,1909.99000000,14271.61570000,1685329199999,27293536.96468800,18043,7046.30940000,13473009.13771200,0
1685329200000,1909.99000000,1910.00000000,1901.21000000,1903.77000000,24422.36450000,1685332799999,46574857.63497600,22866,14612.72300000,27870817.39858400,0
1685332800000,1903.78000000,1905.48000000,1893.00000000,1899.98000000,32677.49310000,1685336399999,62030765.41340800,32542,20221.79640000,38376806.79023300,0
1685336400000,1899.98000000,1905.92000000,1898.90000000,1903.84000000,10118.60400000,1685339999999,19249835.31119300,15912,4535.39890000,8628689.92660300,0
1685340000000,1903.85000000,1905.41000000,1900.80000000,1904.00000000,6525.98190000,1685343599999,12420769.94497900,12045,3199.73370000,6090306.32454600,0
1685343600000,1904.00000000,1904.00000000,1896.07000000,1899.85000000,12310.11530000,1685347199999,23387804.72541500,16755,4600.42350000,8739721.54239800,0
1685347200000,1899.85000000,1901.44000000,1895.00000000,1899.61000000,8101.84050000,1685350799999,15385769.71528300,13840,3285.17280000,6239404.61751300,0
1685350800000,1899.61000000,1904.95000000,1898.73000000,1904.95000000,10320.48970000,1685354399999,19633268.94286500,16591,5382.13990000,10238642.34123500,0
1685354400000,1904.94000000,1905.30000000,1893.92000000,1901.41000000,10672.02590000,1685357999999,20288751.78130100,17259,4255.04690000,8090484.31148100,0
1685358000000,1901.41000000,1904.56000000,1899.51000000,1903.26000000,6377.58710000,1685361599999,12133495.10982000,12701,2923.37830000,5562001.21924900,0
1685361600000,1903.26000000,1905.14000000,1897.00000000,1898.20000000,6404.59100000,1685365199999,12170208.65168800,13162,2801.87690000,5324282.25959600,0
1685365200000,1898.20000000,1902.84000000,1895.80000000,1900.10000000,8232.89940000,1685368799999,15638081.59806900,17187,3478.40000000,6607147.87935800,0
1685368800000,1900.09000000,1902.57000000,1885.00000000,1894.75000000,14439.17890000,1685372399999,27353786.69952000,21559,6043.98480000,11449045.41213300,0
1685372400000,1894.74000000,1899.14000000,1886.31000000,1889.41000000,14199.72270000,1685375999999,26864512.80240900,23161,7200.48690000,13622426.82648100,0
1685376000000,1889.41000000,1893.79000000,1877.47000000,1882.43000000,20794.55260000,1685379599999,39202181.44142700,26729,10747.68680000,20267574.25624000,0
1685379600000,1882.43000000,1894.99000000,1873.65000000,1891.19000000,13169.37690000,1685383199999,24815136.80059000,20135,6828.23540000,12867652.89776600,0
1685383200000,1891.19000000,1895.76000000,1889.16000000,1891.31000000,8258.25720000,1685386799999,15624733.74831600,12706,3838.33130000,7261725.55481500,0
1685386800000,1891.31000000,1894.78000000,1889.00000000,1891.20000000,5575.18740000,1685390399999,10551445.54618000,10450,2727.53230000,5161502.17652400,0
1685390400000,1891.19000000,1894.87000000,1890.33000000,1892.82000000,3986.67720000,1685393999999,7546487.42056300,9536,2106.75140000,3987608.75052600,0
1685394000000,1892.81000000,1894.99000000,1889.60000000,1890.43000000,4220.69250000,1685397599999,7985927.90958900,9761,2031.24540000,3843264.69787900,0
1685397600000,1890.43000000,1892.97000000,1886.02000000,1892.23000000,7071.13520000,1685401199999,13359546.11803300,12785,3261.21440000,6161536.23890800,0
1685401200000,1892.23000000,1903.00000000,1891.45000000,1892.60000000,10302.33320000,1685404799999,19537632.33649900,15305,5029.60080000,9538858.48913900,0
