1663891200000,1326.47000000,1339.99000000,1320.76000000,1321.21000000,26579.31960000,1663894799999,35367045.78038200,34464,12937.07470000,17219480.23891800,0
1663894800000,1321.21000000,1334.00000000,1314.42000000,1332.44000000,30002.68960000,1663898399999,39765017.01573600,33858,16241.82440000,21534993.24478600,0
1663898400000,1332.44000000,1333.99000000,1320.84000000,1324.31000000,18302.50390000,1663901999999,24279116.11326300,27730,8909.47550000,11817488.95617300,0
1663902000000,1324.32000000,1345.40000000,1324.31000000,1340.77000000,31350.02460000,1663905599999,41955662.49112300,41897,17310.43560000,23161245.50062300,0
1663905600000,1340.77000000,1360.00000000,1333.01000000,1349.86000000,36128.62160000,1663909199999,48693718.27529400,40536,17581.30990000,23694624.69332800,0
1663909200000,1349.86000000,1355.71000000,1342.42000000,1342.43000000,22877.54090000,1663912799999,30859574.88293400,30275,10423.43780000,14061428.64190300,0
1663912800000,1342.43000000,1349.34000000,1341.83000000,1342.29000000,17075.36050000,1663916399999,22961384.29273100,24970,8769.14230000,11793590.93107500,0
1663916400000,1342.30000000,1343.39000000,1328.58000000,1331.82000000,37761.27110000,1663919999999,50480487.59456900,40835,19382.52010000,25907025.10507600,0
1663920000000,1331.82000000,1335.57000000,1312.82000000,1317.50000000,36277.67240000,1663923599999,47966916.52394100,50535,18754.77100000,24803397.02746400,0
1663923600000,1317.51000000,1322.97000000,1303.80000000,1312.98000000,34858.73100000,1663927199999,45739637.84576900,46425,17786.32960000,23345801.19452500,0
1663927200000,1312.97000000,1316.07000000,1290.00000000,1294.80000000,36245.38000000,1663930799999,47258131.83026600,50052,17303.52210000,22567767.44900500,0
1663930800000,1294.68000000,1297.27000000,1282.14000000,1287.74000000,48545.67650000,1663934399999,62583950.97570800,68792,24098.69840000,31064888.84885800,0
1663934400000,1287.75000000,1305.62000000,1285.56000000,1298.18000000,39335.49030000,1663937999999,51032337.16705900,56334,20279.36780000,26307422.61784500,0
1663938000000,1298.19000000,1319.13000000,1267.77000000,1270.87000000,97161.29620000,1663941599999,126171508.27757800,104243,47124.70520000,61224589.73124700,0
1663941600000,1270.86000000,1288.74000000,1262.15000000,1283.68000000,86954.45320000,1663945199999,111105168.01209500,97047,42402.83320000,54188790.45175500,0
1663945200000,1283.68000000,1309.09000000,1277.57000000,1293.94000000,55696.96620000,1663948799999,72071410.10219300,72011,29425.87950000,38073018.00796800,0
1663948800000,1293.95000000,1298.67000000,1277.81000000,1295.45000000,46281.48530000,1663952399999,59637264.82109900,62738,23914.04740000,30817762.21722000,0
1663952400000,1295.44000000,1302.49000000,1283.55000000,1295.79000000,39494.24960000,1663955999999,51090633.76646400,50891,21159.18520000,27377509.06715700,0
1663956000000,1295.80000000,1307.42000000,1277.12000000,1282.61000000,61118.45210000,1663959599999,78899610.49306600,77767,29766.01850000,38447222.97367400,0
1663959600000,1282.62000000,1296.09000000,1274.32000000,1292.26000000,50656.19460000,1663963199999,65214265.95289800,65212,24921.39350000,32096233.57329700,0
1663963200000,1292.26000000,1309.00000000,1292.24000000,1300.61000000,26916.13760000,1663966799999,35058642.21743000,37510,14544.51170000,18946403.02053000,0
1663966800000,1300.62000000,1329.28000000,1299.00000000,1325.95000000,27870.76280000,1663970399999,36645363.11850600,42216,14952.83540000,19669106.45127500,0
1663970400000,1325.95000000,1337.77000000,1323.91000000,1329.78000000,42937.85340000,1663973999999,57097359.21049000,45156,22588.94560000,30040885.92624600,0
1663974000000,1329.79000000,1339.93000000,1323.11000000,1327.25000000,23624.23140000,1663977599999,31468812.93192800,32012,10910.75350000,14536606.26110000,0
