1660089600000,23151.32000000,23151.32000000,23043.18000000,23088.19000000,1580.10843000,1660090499999,36493117.84418090,53754,708.94275000,16373132.88852430,0
1660090500000,23088.19000000,23102.13000000,23014.33000000,23038.61000000,1175.88862000,1660091399999,27104704.50185330,46064,574.39716000,13239784.29279210,0
1660091400000,23037.79000000,23042.05000000,22664.69000000,22763.40000000,4860.74930000,1660092299999,110964988.29670670,121967,1907.43919000,43528164.11756940,0
1660092300000,22761.38000000,22791.20000000,22691.22000000,22771.87000000,2778.98659000,1660093199999,63229584.33316550,83849,1448.17082000,32952194.70236000,0
1660093200000,22771.87000000,22880.00000000,22761.11000000,22868.96000000,2028.48418000,1660094099999,46299451.27955650,72351,1093.82414000,24967274.25151320,0
1660094100000,22867.83000000,22949.09000000,22847.33000000,22925.86000000,1637.41472000,1660094999999,37501256.83135030,60587,874.08516000,20018927.84781890,0
1660095000000,22927.02000000,22927.02000000,22830.70000000,22834.33000000,1501.37758000,1660095899999,34354636.17843340,50882,685.29094000,15681536.34100540,0
1660095900000,22834.33000000,22899.99000000,22830.00000000,22886.25000000,1243.53611000,1660096799999,28441271.53786490,44152,647.92905000,14819270.70299240,0
1660096800000,22885.90000000,22920.18000000,22851.25000000,22866.16000000,1156.46237000,1660097699999,26467413.51384750,40853,529.84182000,12127276.61129940,0
1660097700000,22867.55000000,22885.94000000,22760.00000000,22837.41000000,1849.87613000,1660098599999,42229931.43108080,55160,879.85132000,20086194.94474480,0
1660098600000,22837.41000000,22855.00000000,22781.90000000,22846.00000000,1327.42406000,1660099499999,30284856.00936170,52218,671.08681000,15311078.03655080,0
1660099500000,22846.72000000,22924.40000000,22846.00000000,22913.53000000,1218.38659000,1660100399999,27877691.40792430,44130,653.11830000,14944971.31906360,0
1660100400000,22913.53000000,22939.52000000,22864.42000000,22881.26000000,1362.88883000,1660101299999,31204359.56045010,50821,685.32822000,15691848.49840740,0
1660101300000,22882.63000000,22924.15000000,22870.39000000,22897.92000000,1018.04787000,1660102199999,23312993.54546340,44054,538.53333000,12332894.28897220,0
1660102200000,22897.94000000,22918.75000000,22854.50000000,22888.81000000,1620.99346000,1660103099999,37092960.56636440,42947,851.62307000,19487253.63475490,0
1660103100000,22888.80000000,22903.78000000,22850.00000000,22863.75000000,961.76154000,1660103999999,22009652.41838220,39401,452.33907000,10351895.98799240,0
1660104000000,22863.75000000,22903.24000000,22849.46000000,22893.67000000,1060.82894000,1660104899999,24268223.29173280,39186,541.93942000,12398385.41041000,0
1660104900000,22891.96000000,22924.95000000,22882.96000000,22904.26000000,955.58555000,1660105799999,21890203.15836630,39032,491.72733000,11264878.31305480,0
1660105800000,22905.42000000,22979.99000000,22897.95000000,22971.84000000,2332.81097000,1660106699999,53492545.48528910,62377,1329.01863000,30473668.65998580,0
1660106700000,22970.63000000,23004.52000000,22910.20000000,22943.35000000,1674.15334000,1660107599999,38432793.30631590,54425,858.62027000,19712570.59543660,0
1660107600000,22941.32000000,22966.62000000,22935.65000000,22949.27000000,800.61218000,1660108499999,18376182.54100020,35547,425.95624000,9777239.22053050,0
1660108500000,22949.27000000,22965.37000000,22915.02000000,22926.91000000,893.70772000,1660109399999,20500779.30293860,37041,462.18159000,10602348.06982950,0
1660109400000,22927.42000000,22944.23000000,22884.00000000,22899.00000000,980.03141000,1660110299999,22454240.05135570,39992,447.23054000,10247508.08957900,0
1660110300000,22897.77000000,22919.29000000,22880.00000000,22900.86000000,900.28974000,1660111199999,20619360.51295790,37770,445.65064000,10207268.07734590,0
1660111200000,22899.26000000,22910.88000000,22850.67000000,22861.84000000,1094.54169000,1660112099999,25043837.14987830,44696,525.28594000,12019264.19972320,0
1660112100000,22861.84000000,22906.22000000,22829.17000000,22878.69000000,1068.79246000,1660112999999,24436502.80107170,46718,555.68937000,12705745.67746460,0
1660113000000,22878.69000000,22920.00000000,22850.00000000,22909.66000000,950.93418000,1660113899999,21767779.53448360,39954,481.97313000,11033011.65778440,0
1660113900000,22908.53000000,22954.92000000,22907.87000000,22936.65000000,1135.32079000,1660114799999,26039150.21532160,44116,606.31905000,13906873.05919550,0
1660114800000,22936.65000000,22976.91000000,22923.02000000,22965.53000000,1382.42537000,1660115699999,31724022.84853300,51051,711.16096000,16320585.79277610,0
1660115700000,22965.53000000,22976.35000000,22946.44000000,22956.46000000,864.29582000,1660116599999,19844368.52506390,41193,409.31451000,9398189.84535120,0
1660116600000,22956.46000000,23008.00000000,22955.23000000,22996.52000000,1250.28351000,1660117499999,28736013.15961970,50987,663.60729000,15252936.08649650,0
1660117500000,22996.52000000,23011.50000000,22923.00000000,22963.67000000,1379.85625000,1660118399999,31706462.53341010,55459,608.89360000,13992937.94192820,0
1660118400000,22963.67000000,23005.00000000,22961.96000000,22976.53000000,1760.56007000,1660119299999,40470840.48849140,58640,957.15576000,22003416.38097500,0
1660119300000,22978.21000000,23035.99000000,22974.38000000,23026.48000000,1487.74426000,1660120199999,34222821.47104080,55728,827.19948000,19028055.20708960,0
1660120200000,23026.48000000,23065.91000000,23023.57000000,23054.52000000,1538.33733000,1660121099999,35445366.13390110,60903,751.49179000,17316013.63351260,0
1660121100000,23053.50000000,23139.00000000,23050.00000000,23103.30000000,1972.53159000,1660121999999,45570668.97746700,69974,1048.40640000,24221600.88405420,0
1660122000000,23103.30000000,23129.58000000,23075.04000000,23085.42000000,1374.74409000,1660122899999,31748566.90422180,53380,703.91094000,16256713.79727800,0
1660122900000,23086.53000000,23125.85000000,23041.22000000,23072.81000000,1537.72329000,1660123799999,35494849.48191980,57328,738.43220000,17045598.60936830,0
1660123800000,23072.81000000,23091.22000000,23025.49000000,23054.19000000,1054.69412000,1660124699999,24313693.24930060,50397,511.26678000,11786188.97992520,0
1660124700000,23054.19000000,23094.81000000,23042.52000000,23082.32000000,983.21620000,1660125599999,22674394.00493260,46374,479.43791000,11056910.02305000,0
1660125600000,23083.81000000,23091.18000000,23033.67000000,23051.28000000,1082.52574000,1660126499999,24953605.20219030,47946,527.00438000,12148141.97289790,0
1660126500000,23052.36000000,23077.01000000,23035.35000000,23060.76000000,1081.52008000,1660127399999,24937434.57823860,48947,511.70381000,11799048.97859570,0
1660127400000,23059.75000000,23082.92000000,22983.08000000,23070.86000000,1725.87696000,1660128299999,39756889.77785260,60377,798.67483000,18399997.16187810,0
1660128300000,23069.81000000,23089.99000000,23035.00000000,23064.45000000,1286.76147000,1660129199999,29673490.36834560,49253,639.69567000,14752437.57779980,0
1660129200000,23063.68000000,23103.01000000,23047.49000000,23081.52000000,1096.66362000,1660130099999,25308347.67316460,47054,538.62096000,12431092.65280730,0
1660130100000,23080.37000000,23204.00000000,23078.31000000,23185.87000000,2126.66681000,1660130999999,49227645.89299760,75880,1171.15985000,27110337.38981740,0
1660131000000,23186.82000000,23197.74000000,23054.31000000,23101.21000000,1968.21055000,1660131899999,45483000.86065380,73307,965.67361000,22316505.04925530,0
1660131900000,23101.21000000,23142.26000000,23068.08000000,23123.95000000,1341.11303000,1660132799999,30991342.34874100,57303,652.61471000,15081531.19271810,0
1660132800000,23122.36000000,23189.00000000,23100.52000000,23182.37000000,1882.44129000,1660133699999,43579342.46351110,68781,971.91284000,22501428.14106380,0
1660133700000,23183.00000000,23199.99000000,23004.58000000,23063.99000000,3570.66922000,1660134599999,82494850.73806940,111896,1738.16579000,40157873.92890440,0
1660134600000,23063.10000000,23777.90000000,23060.56000000,23731.22000000,15495.42810000,1660135499999,365737511.62597920,322910,8257.66547000,194862267.44653520,0
1660135500000,23732.19000000,24056.22000000,23711.84000000,23985.18000000,10973.35248000,1660136399999,262213544.93918920,271975,5865.20588000,140149570.34344870,0
1660136400000,23983.92000000,24109.90000000,23852.83000000,23953.38000000,6457.52769000,1660137299999,154936961.89976280,179953,3302.00628000,79240004.36018820,0
1660137300000,23953.38000000,24178.00000000,23952.00000000,24137.45000000,5062.32957000,1660138199999,121873219.22788880,153908,2535.47567000,61042674.36210050,0
1660138200000,24134.99000000,24168.05000000,23961.00000000,24048.60000000,5354.37536000,1660139099999,128802988.41599820,153797,2591.23999000,62337884.20125120,0
1660139100000,24048.60000000,24079.33000000,23986.36000000,24018.75000000,3615.47899000,1660139999999,86901243.70195540,112859,1830.20820000,43993458.41469040,0
1660140000000,24016.31000000,24068.82000000,23868.24000000,23904.23000000,3990.52821000,1660140899999,95770506.61671140,125268,1865.87858000,44790992.71133440,0
1660140900000,23902.72000000,23953.48000000,23830.05000000,23919.58000000,3565.51224000,1660141799999,85237098.92116510,115387,1844.63806000,44099331.00214080,0
1660141800000,23918.31000000,24016.90000000,23868.91000000,23987.98000000,2910.05234000,1660142699999,69636900.60311500,100119,1562.39557000,37394335.72542630,0
1660142700000,23989.41000000,24082.20000000,23958.08000000,24002.48000000,2756.75841000,1660143599999,66189921.12602180,95838,1391.78198000,33420555.26959530,0
1660143600000,24003.48000000,24069.49000000,23923.45000000,23959.32000000,2535.85441000,1660144499999,60829590.23117900,88411,1206.30132000,28939537.12014400,0
1660144500000,23959.32000000,24014.92000000,23917.52000000,23994.10000000,1815.38784000,1660145399999,43521256.74868160,74562,960.88578000,23037111.02211960,0
1660145400000,23992.15000000,24078.00000000,23967.33000000,24009.10000000,2467.41658000,1660146299999,59269459.31404640,83399,1285.25567000,30876748.91652020,0
1660146300000,24009.10000000,24050.06000000,23985.90000000,23997.10000000,2034.34430000,1660147199999,48856151.70189850,72152,982.93525000,23607087.28649850,0
1660147200000,23997.10000000,24067.74000000,23970.56000000,24045.09000000,2500.47303000,1660148099999,60065130.72009380,87191,1283.48455000,30834075.73196580,0
1660148100000,24046.48000000,24092.52000000,23993.63000000,24025.27000000,1958.84721000,1660148999999,47076464.93763370,70816,961.33298000,23104893.60342580,0
1660149000000,24026.99000000,24032.01000000,23930.39000000,23939.83000000,2326.74542000,1660149899999,55791161.47192450,75848,1008.36053000,24177826.04108430,0
1660149900000,23939.83000000,23990.00000000,23931.92000000,23960.18000000,1284.92959000,1660150799999,30783789.80073680,56477,638.26643000,15292036.24238960,0
1660150800000,23960.18000000,23969.36000000,23826.50000000,23938.27000000,2227.33260000,1660151699999,53248386.95261280,78753,1047.83617000,25052679.12177130,0
