1719792000000,62772.01000000,62809.01000000,62573.32000000,62624.00000000,416.77792000,1719792899999,26135578.74473100,23182,230.38215000,14447850.19151230,0
1719792900000,62624.00000000,62744.99000000,62621.40000000,62720.02000000,196.18162000,1719793799999,12299459.87942090,11641,114.08582000,7152363.25426090,0
1719793800000,62720.02000000,62839.49000000,62684.00000000,62804.60000000,192.89394000,1719794699999,12106007.91193240,12077,101.82939000,6390781.42048190,0
1719794700000,62804.60000000,62944.00000000,62797.04000000,62931.99000000,181.27297000,1719795599999,11395049.05252210,12182,110.33987000,6936515.18002270,0
1719795600000,62931.98000000,63653.37000000,62901.71000000,63644.00000000,1135.47860000,1719796499999,71900556.53563200,71638,700.32261000,44350650.78255980,0
1719796500000,63644.00000000,63650.00000000,63410.00000000,63488.00000000,471.96011000,1719797399999,29960987.93145350,30897,221.27256000,14047103.48117050,0
1719797400000,63487.99000000,63663.00000000,63474.96000000,63617.78000000,392.69738000,1719798299999,24957665.37071080,24288,215.26731000,13681017.43859170,0
1719798300000,63617.77000000,63730.00000000,63540.82000000,63640.82000000,570.26562000,1719799199999,36282956.35444400,21435,361.88058000,23025095.35553390,0
1719799200000,63640.81000000,63818.33000000,63375.30000000,63527.49000000,1027.20191000,1719800099999,65384836.89798940,34945,506.39397000,32229467.74428220,0
1719800100000,63527.49000000,63614.24000000,63513.51000000,63572.54000000,399.97999000,1719800999999,25422960.34041680,16635,202.38004000,12863309.35237230,0
1719801000000,63572.54000000,63605.55000000,63349.60000000,63390.00000000,429.59248000,1719801899999,27260224.41446190,20326,161.98029000,10278827.12757940,0
1719801900000,63389.99000000,63448.00000000,63288.53000000,63435.86000000,180.55793000,1719802799999,11441058.34472470,16257,81.48434000,5163257.93843790,0
1719802800000,63435.86000000,63536.47000000,63376.40000000,63457.38000000,377.81124000,1719803699999,23978541.45607460,13381,153.22136000,9726253.24747900,0
1719803700000,63457.38000000,63518.34000000,63395.99000000,63456.92000000,461.83632000,1719804599999,29306842.65543600,12326,222.71341000,14134680.70206360,0
1719804600000,63456.92000000,63468.00000000,63340.00000000,63371.72000000,256.60940000,1719805499999,16270848.91128710,10131,137.11068000,8694113.31585570,0
1719805500000,63371.72000000,63477.28000000,63371.71000000,63437.69000000,168.20585000,1719806399999,10670180.53700440,9325,97.75024000,6200231.96261080,0
1719806400000,63437.69000000,63466.92000000,63364.01000000,63395.16000000,153.62747000,1719807299999,9740897.30851080,11687,73.46975000,4658388.85162020,0
1719807300000,63395.16000000,63438.26000000,63340.00000000,63347.99000000,92.30793000,1719808199999,5851546.83333160,7933,39.37217000,2495985.08304580,0
1719808200000,63347.99000000,63363.70000000,63223.25000000,63229.82000000,180.49430000,1719809099999,11421791.76355740,13475,45.15875000,2858051.22471390,0
1719809100000,63229.81000000,63306.00000000,63223.20000000,63279.79000000,90.72310000,1719809999999,5738915.01376840,8822,47.84582000,3026477.44883010,0
1719810000000,63279.79000000,63365.73000000,63262.00000000,63340.31000000,112.77185000,1719810899999,7141233.51210660,6834,58.82756000,3724810.80202730,0
1719810900000,63340.31000000,63425.47000000,63320.00000000,63387.73000000,94.74246000,1719811799999,6004327.83005800,8370,48.58487000,3078695.38740390,0
1719811800000,63387.73000000,63457.47000000,63375.57000000,63392.01000000,133.63637000,1719812699999,8473843.99895640,7631,49.98955000,3169940.59803260,0
1719812700000,63392.01000000,63447.98000000,63392.00000000,63432.94000000,77.11424000,1719813599999,4890436.31431640,7524,43.64139000,2767584.81963260,0
1719813600000,63432.94000000,63456.97000000,63381.32000000,63381.33000000,97.60886000,1719814499999,6190857.08869950,7140,42.84912000,2717996.88005490,0
1719814500000,63381.33000000,63384.00000000,63293.75000000,63382.00000000,122.94334000,1719815399999,7787072.63110110,10194,50.86645000,3221504.42534900,0
1719815400000,63381.99000000,63420.00000000,63344.17000000,63362.01000000,170.25058000,1719816299999,10789566.23083860,8030,82.33098000,5217790.18997900,0
1719816300000,63362.01000000,63464.74000000,63337.32000000,63404.00000000,135.80552000,1719817199999,8607987.32288040,7636,67.45102000,4275433.41941090,0
1719817200000,63403.99000000,63432.00000000,63350.00000000,63432.00000000,122.13943000,1719818099999,7742074.95000150,12297,51.71215000,3277819.44296920,0
1719818100000,63431.99000000,63432.00000000,63303.93000000,63313.73000000,83.38598000,1719818999999,5283366.85420110,8189,25.97287000,1645663.54057780,0
1719819000000,63313.73000000,63362.91000000,63300.01000000,63334.87000000,142.37748000,1719819899999,9016089.53510660,9108,59.54468000,3770516.75229420,0
1719819900000,63334.87000000,63362.91000000,63260.71000000,63277.84000000,138.94006000,1719820799999,8794317.61798340,9442,41.49896000,2626891.10970290,0
1719820800000,63277.84000000,63314.99000000,63258.79000000,63260.01000000,118.85658000,1719821699999,7521804.81478060,10367,45.59802000,2885840.61775260,0
1719821700000,63260.01000000,63294.00000000,63092.68000000,63117.84000000,262.19448000,1719822599999,16560438.27953410,16765,96.87801000,6118190.27955000,0
1719822600000,63117.84000000,63124.00000000,62836.47000000,62890.00000000,485.07435000,1719823499999,30549148.83585870,27403,185.42604000,11674425.92866840,0
1719823500000,62890.00000000,62989.22000000,62848.00000000,62923.91000000,522.76495000,1719824399999,32895074.55727520,20792,195.43785000,12297749.76354320,0
1719824400000,62923.91000000,62997.98000000,62868.01000000,62886.13000000,181.46468000,1719825299999,11420120.48868530,12923,87.18664000,5487171.78693310,0
1719825300000,62886.13000000,62920.00000000,62789.16000000,62840.40000000,286.38503000,1719826199999,18000757.90637180,18117,106.91397000,6719898.00750140,0
1719826200000,62840.40000000,62945.74000000,62835.52000000,62878.00000000,121.80917000,1719827099999,7661291.09120470,11849,63.18718000,3974070.82728070,0
1719827100000,62878.00000000,62970.00000000,62860.01000000,62938.97000000,141.52310000,1719827999999,8904530.63585670,9432,90.06924000,5666817.77348710,0
1719828000000,62938.97000000,62977.99000000,62895.40000000,62902.57000000,212.06355000,1719828899999,13346926.10911590,12952,97.18022000,6116799.80965650,0
1719828900000,62902.57000000,62940.00000000,62840.38000000,62872.00000000,124.55135000,1719829799999,7832259.10121200,9971,57.47487000,3614372.49080190,0
1719829800000,62872.00000000,62940.01000000,62781.05000000,62840.00000000,141.29620000,1719830699999,8882376.30562640,12677,61.24396000,3850357.14480020,0
1719830700000,62840.00000000,62885.00000000,62805.92000000,62852.24000000,137.36511000,1719831599999,8634120.37356040,10889,84.29783000,5298569.03990520,0
1719831600000,62852.24000000,62858.00000000,62709.71000000,62812.05000000,228.74387000,1719832499999,14362109.29567140,14697,113.31820000,7114234.47591460,0
1719832500000,62812.04000000,62850.01000000,62702.00000000,62756.14000000,304.24851000,1719833399999,19094099.91610830,15172,170.03866000,10671186.65051140,0
1719833400000,62756.14000000,62767.99000000,62663.30000000,62737.72000000,252.65336000,1719834299999,15845405.58354580,14380,130.29347000,8171140.20470520,0
1719834300000,62737.72000000,62737.72000000,62593.07000000,62662.09000000,224.12049000,1719835199999,14040036.50618820,14141,87.64350000,5490161.67486140,0
1719835200000,62662.09000000,62846.52000000,62641.99000000,62691.81000000,240.87566000,1719836099999,15112592.62708080,14727,160.41578000,10064213.77860630,0
1719836100000,62691.81000000,62777.93000000,62681.02000000,62760.01000000,150.02510000,1719836999999,9411264.88515220,10607,76.05147000,4770693.92852520,0
1719837000000,62760.01000000,62898.03000000,62734.00000000,62856.12000000,156.46185000,1719837899999,9829012.57179040,12929,98.26449000,6172691.42559020,0
1719837900000,62856.12000000,62900.00000000,62804.01000000,62882.00000000,136.83730000,1719838799999,8602471.59080860,12605,75.03183000,4716944.50318240,0
1719838800000,62882.00000000,62999.99000000,62800.00000000,62831.95000000,187.48921000,1719839699999,11790229.84830450,17393,95.06401000,5978346.98462310,0
1719839700000,62831.95000000,62946.00000000,62681.35000000,62946.00000000,207.09844000,1719840599999,12998735.16887590,19364,96.93045000,6085050.32198120,0
1719840600000,62945.99000000,63081.11000000,62678.22000000,62705.99000000,428.30324000,1719841499999,26935780.98886210,29353,207.03679000,13027094.90116950,0
1719841500000,62705.99000000,62751.65000000,62497.20000000,62685.27000000,503.88043000,1719842399999,31552403.67592300,31077,248.75491000,15576988.71633190,0
1719842400000,62685.27000000,62900.00000000,62610.74000000,62624.77000000,449.36737000,1719843299999,28202225.84639270,34504,248.12366000,15571986.40033780,0
1719843300000,62624.76000000,62870.00000000,62610.35000000,62832.01000000,336.53595000,1719844199999,21122345.13091070,27969,189.61381000,11902016.15728930,0
1719844200000,62832.01000000,62944.00000000,62770.02000000,62848.01000000,360.41704000,1719845099999,22654820.61960360,21334,163.97408000,10306346.91732280,0
1719845100000,62848.01000000,62881.91000000,62782.23000000,62826.02000000,279.47769000,1719845999999,17557454.11993920,22205,153.88742000,9667206.81630360,0
1719846000000,62826.02000000,63070.11000000,62815.63000000,63030.76000000,445.91846000,1719846899999,28068455.93875290,19015,271.59108000,17093950.67902810,0
1719846900000,63030.76000000,63030.76000000,62826.00000000,62944.69000000,217.58742000,1719847799999,13696265.93015880,14591,97.42846000,6131788.96726530,0
1719847800000,62944.69000000,63011.61000000,62870.51000000,62934.27000000,189.63787000,1719848699999,11938850.28320600,13057,90.45291000,5694803.45883670,0
1719848700000,62934.27000000,63166.11000000,62934.26000000,63132.90000000,224.79307000,1719849599999,14174689.19619490,14687,125.68835000,7925446.26718300,0
1719849600000,63132.90000000,63338.12000000,62966.77000000,63282.00000000,411.97177000,1719850499999,26021343.37526190,28741,277.35276000,17521620.19054070,0
1719850500000,63282.00000000,63318.99000000,63129.82000000,63183.42000000,241.71620000,1719851399999,15285985.89689740,16953,117.35700000,7421814.17778420,0
1719851400000,63183.42000000,63315.00000000,63140.89000000,63180.00000000,453.29424000,1719852299999,28664806.98738500,16651,269.56555000,17046314.54214540,0
1719852300000,63180.00000000,63193.99000000,63090.06000000,63119.33000000,217.99164000,1719853199999,13762958.55576210,11582,100.71015000,6358576.38108680,0
1719853200000,63119.33000000,63188.10000000,63056.83000000,63110.02000000,266.52326000,1719854099999,16820411.33167210,23615,139.58719000,8808919.61546450,0
1719854100000,63110.02000000,63380.00000000,63093.40000000,63339.77000000,238.76572000,1719854999999,15089246.64900710,12543,166.06057000,10493679.05395660,0
1719855000000,63339.77000000,63618.00000000,63279.99000000,63604.00000000,476.26222000,1719855899999,30230468.21872030,23440,313.31451000,19888100.64724610,0
