1609459200000,28923.63000000,29017.50000000,28690.17000000,28752.80000000,840.07756900,1609460099999,24239724.49526467,19318,393.70422400,11360055.06001144,0
1609460100000,28752.80000000,28875.55000000,28720.91000000,28836.63000000,480.61117900,1609460999999,13846953.25263436,13876,235.96797800,6798116.91940054,0
1609461000000,28836.63000000,28943.87000000,28836.62000000,28930.11000000,471.13470800,1609461899999,13616185.45747568,12234,307.96671500,8899806.50817225,0
1609461900000,28930.11000000,29031.34000000,28889.99000000,28995.13000000,519.98798900,1609462799999,15065967.13472537,12961,277.72032100,8045564.29529853,0
1609462800000,28995.13000000,29385.00000000,28960.35000000,29382.59000000,1735.83900500,1609463699999,50680793.14021551,32696,1152.69697200,33662886.41552563,0
1609463700000,29384.97000000,29417.87000000,29241.50000000,29385.39000000,1713.27943900,1609464599999,50251757.83941410,29583,934.57820400,27417324.41868069,0
1609464600000,29387.07000000,29470.00000000,29312.17000000,29319.87000000,1333.72232300,1609465499999,39209972.45626526,25273,719.92832200,21171451.19639764,0
1609465500000,29320.70000000,29430.85000000,29311.75000000,29409.99000000,620.22770400,1609466399999,18215293.38216235,16344,352.83820300,10362329.90494897,0
1609466400000,29410.00000000,29465.26000000,29201.78000000,29248.69000000,741.69177200,1609467299999,21775579.82389752,16200,350.28299200,10284833.73010487,0
1609467300000,29248.69000000,29388.22000000,29240.41000000,29298.86000000,502.93300400,1609468199999,14744416.69898486,13738,276.04723900,8091898.55173334,0
1609468200000,29298.87000000,29299.98000000,29120.03000000,29265.71000000,698.74579500,1609469099999,20425553.81794513,16297,370.66718600,10836292.46924279,0
1609469100000,29264.87000000,29341.21000000,29151.42000000,29194.65000000,440.86098900,1609469999999,12897103.33259279,11411,206.43608900,6039725.15724506,0
1609470000000,29195.25000000,29287.49000000,29193.50000000,29263.79000000,323.39452600,1609470899999,9460291.79579729,9304,176.27801600,5156407.00659289,0
1609470900000,29263.79000000,29311.00000000,29150.02000000,29215.84000000,368.99361700,1609471799999,10788389.86987345,11007,198.12912800,5793799.81309192,0
1609471800000,29216.03000000,29367.00000000,29190.83000000,29276.99000000,468.42468300,1609472699999,13711001.75016250,11548,251.97344100,7376388.97247098,0
1609472700000,29277.00000000,29321.59000000,29241.61000000,29278.40000000,300.53225100,1609473599999,8801093.30968322,10651,149.53508100,4378952.19092398,0
1609473600000,29278.41000000,29342.74000000,29278.40000000,29289.14000000,378.79747300,1609474499999,11102483.14217286,11265,190.24708800,5576080.48210105,0
1609474500000,29290.20000000,29395.00000000,29290.20000000,29332.81000000,493.11786600,1609475399999,14477116.02708193,13358,236.15647900,6933071.73538358,0
1609475400000,29332.81000000,29373.60000000,29029.40000000,29172.58000000,868.63478200,1609476299999,25345273.34557293,20198,418.75138500,12216376.53261934,0
1609476300000,29172.58000000,29236.88000000,29172.57000000,29220.31000000,297.49668200,1609477199999,8689764.78870102,10593,158.18788200,4620853.13010257,0
1609477200000,29220.31000000,29235.28000000,29084.11000000,29126.61000000,599.34219000,1609478099999,17470946.25776968,14076,237.69325000,6929196.64010419,0
1609478100000,29125.66000000,29195.31000000,29116.01000000,29161.28000000,274.16143900,1609478999999,7992400.69667146,9954,122.00936700,3557251.56578691,0
1609479000000,29161.28000000,29205.68000000,29113.80000000,29178.57000000,320.46755300,1609479899999,9347655.99021431,9185,167.13555200,4875525.11446718,0
1609479900000,29178.57000000,29213.40000000,29138.28000000,29187.01000000,275.98508000,1609480799999,8053535.75970266,8585,153.00857300,4465216.97211434,0
1609480800000,29187.01000000,29270.00000000,29187.01000000,29213.25000000,332.62597000,1609481699999,9722867.12569262,10116,181.74318300,5312863.77617906,0
1609481700000,29213.25000000,29233.00000000,29100.00000000,29100.00000000,330.69949700,1609482599999,9644557.08385070,12314,140.41838800,4094885.28853604,0
1609482600000,29100.00000000,29202.72000000,29100.00000000,29191.89000000,321.41281600,1609483499999,9373082.65389721,12294,181.06193700,5281029.97575499,0
1609483500000,29191.88000000,29205.76000000,29077.32000000,29174.35000000,435.98800800,1609484399999,12705506.15474952,11676,195.91916800,5709543.71945164,0
1609484400000,29174.35000000,29191.98000000,28806.54000000,28930.90000000,1169.19727700,1609485299999,33876107.53340527,22268,458.09849600,13275749.79384393,0
