1629244800000,44695.95000000,45031.56000000,44590.90000000,44782.63000000,1148.00016300,1629245699999,51454366.20645882,24577,652.91233300,29267435.87036821,0
1629245700000,44782.63000000,44925.39000000,44679.34000000,44732.81000000,622.19375400,1629246599999,27885695.57249044,14157,335.38706200,15031185.99446825,0
1629246600000,44732.81000000,44739.51000000,44502.00000000,44525.63000000,659.42617400,1629247499999,29406423.75040569,20080,280.71653100,12517880.64820418,0
1629247500000,44525.63000000,44868.86000000,44459.49000000,44820.00000000,655.71222300,1629248399999,29310796.32778331,19240,324.80395500,14522887.21972427,0
1629248400000,44819.99000000,44821.31000000,44203.28000000,44350.49000000,1027.12996400,1629249299999,45694335.16227825,30611,439.71049600,19565610.44461639,0
1629249300000,44350.48000000,44761.57000000,44303.44000000,44672.96000000,923.23605000,1629250199999,41154659.18493625,28043,486.32059000,21681130.34619057,0
1629250200000,44672.96000000,44962.97000000,44670.00000000,44928.24000000,640.16073200,1629251099999,28701119.94510623,17627,340.89791800,15283547.88429662,0
1629251100000,44928.23000000,45135.40000000,44800.00000000,45119.99000000,597.87579600,1629251999999,26869888.73523240,15594,299.84902400,13476918.36957019,0
1629252000000,45120.00000000,45135.18000000,44926.81000000,45100.23000000,589.66232000,1629252899999,26544030.00407883,14275,288.87054000,13004093.03789227,0
1629252900000,45100.22000000,45106.37000000,44932.01000000,44960.64000000,396.10980400,1629253799999,17835581.95924331,10902,184.88947200,8325702.04096617,0
1629253800000,44960.63000000,45026.18000000,44278.18000000,44829.13000000,3201.12883900,1629254699999,142427698.66328932,45123,2312.09182700,102778672.71912353,0
1629254700000,44829.13000000,44999.99000000,44723.81000000,44940.01000000,714.71889000,1629255599999,32081260.45051784,14775,353.51866900,15867796.14939082,0
1629255600000,44940.01000000,44990.37000000,44750.00000000,44756.12000000,385.39791400,1629256499999,17283512.61852078,10866,174.07900300,7805961.20040893,0
1629256500000,44756.12000000,44798.22000000,44650.00000000,44677.73000000,406.51568000,1629257399999,18180757.49285382,12098,195.89939700,8761513.80363631,0
1629257400000,44677.73000000,44897.47000000,44608.70000000,44808.98000000,359.18320600,1629258299999,16084586.17128205,10501,194.40709800,8705449.24734018,0
1629258300000,44808.96000000,45067.91000000,44800.00000000,45055.78000000,362.30165900,1629259199999,16279975.02565827,10614,205.62963500,9240769.25509272,0
1629259200000,45055.78000000,45281.87000000,44989.00000000,45176.87000000,711.08616500,1629260099999,32094293.48013130,17161,380.77985500,17188138.03005099,0
1629260100000,45176.86000000,45183.04000000,45003.00000000,45010.00000000,294.92050200,1629260999999,13299165.32968496,9250,149.88908000,6758982.74927160,0
1629261000000,45010.00000000,45100.00000000,44873.58000000,44926.43000000,364.30016100,1629261899999,16386738.07678055,8747,123.74627000,5567584.98233474,0
1629261900000,44926.44000000,45090.00000000,44861.00000000,45074.04000000,369.58257200,1629262799999,16626270.21013306,8790,171.86628500,7732904.62130456,0
1629262800000,45074.03000000,45236.15000000,45007.00000000,45158.64000000,533.72018800,1629263699999,24093259.80922321,10424,222.93882800,10062745.21448692,0
