1748563200000000,105589.75000000,106214.93000000,104600.50000000,104939.99000000,1835.85842000,1748566799999999,193525530.80476450,297321,745.87858000,78667408.80989580,0
1748566800000000,104940.00000000,105925.92000000,104940.00000000,105666.66000000,1178.59954000,1748570399999999,124297389.53417870,257977,619.51660000,65329033.23696120,0
1748570400000000,105666.67000000,106172.30000000,105650.00000000,106000.00000000,767.82001000,1748573999999999,81378148.60049780,150163,316.28143000,33514796.63854220,0
1748574000000000,106000.01000000,106193.58000000,105913.35000000,106024.33000000,608.67187000,1748577599999999,64554348.88310100,101377,267.82205000,28408488.78170440,0
1748577600000000,106024.33000000,106136.00000000,105904.76000000,106112.08000000,577.59911000,1748581199999999,61222897.90255140,83417,181.58971000,19246977.34503990,0
1748581200000000,106112.08000000,106313.12000000,106018.79000000,106083.42000000,420.63382000,1748584799999999,44654437.95064150,66445,159.75157000,16960182.72916820,0
1748584800000000,106083.43000000,106135.17000000,105535.07000000,105711.77000000,1083.16822000,1748588399999999,114692309.15213310,129409,583.05789000,61758334.77787550,0
1748588400000000,105711.77000000,105850.00000000,104727.72000000,105028.02000000,2105.75378000,1748591999999999,221505101.88293170,234409,901.16181000,94768702.00017010,0
1748592000000000,105028.03000000,105367.31000000,104841.42000000,105177.33000000,915.44822000,1748595599999999,96239142.34417500,180967,525.51252000,55248951.48149350,0
1748595600000000,105177.34000000,105666.67000000,104606.01000000,105623.04000000,1181.32648000,1748599199999999,124210184.68337930,188992,678.09083000,71313140.22239240,0
1748599200000000,105623.04000000,105938.44000000,105285.71000000,105925.06000000,845.87516000,1748602799999999,89368356.53162730,169087,373.29713000,39438905.27459700,0
1748602800000000,105925.05000000,105981.75000000,105700.00000000,105880.51000000,520.93192000,1748606399999999,55137998.33862700,112326,194.21997000,20557924.89654940,0
1748606400000000,105880.50000000,106000.00000000,105153.84000000,105684.96000000,1168.81206000,1748609999999999,123441207.11609860,195500,533.73237000,56365158.23750620,0
1748610000000000,105684.95000000,105979.35000000,105366.14000000,105495.59000000,956.14556000,1748613599999999,101019787.11049890,236568,487.50604000,51506468.21429740,0
1748613600000000,105495.60000000,105837.57000000,105047.61000000,105346.33000000,1209.39338000,1748617199999999,127517721.37268320,297602,563.68571000,59433661.23133250,0
1748617200000000,105346.34000000,105831.00000000,105291.12000000,105543.00000000,842.00636000,1748620799999999,88897110.02028720,161247,424.77403000,44849452.22513390,0
1748620800000000,105543.00000000,105560.98000000,103706.71000000,103898.75000000,2576.24080000,1748624399999999,268824990.80822420,384746,1136.82290000,118579039.31031860,0
1748624400000000,103898.75000000,104292.69000000,103836.03000000,104183.15000000,1096.10894000,1748627999999999,114073539.96077490,225427,573.98686000,59737813.15352660,0
1748628000000000,104183.15000000,104914.02000000,104065.08000000,104891.99000000,839.08091000,1748631599999999,87755931.26302230,151264,473.43960000,49520106.21205530,0
1748631600000000,104891.98000000,104988.97000000,104484.86000000,104640.50000000,691.96122000,1748635199999999,72473730.86082930,130218,355.89105000,37272993.03211460,0
1748635200000000,104640.49000000,104846.13000000,104398.93000000,104580.00000000,400.37190000,1748638799999999,41854728.20600740,76674,187.58268000,19606903.77207540,0
1748638800000000,104579.99000000,104878.05000000,104553.70000000,104631.59000000,288.73316000,1748642399999999,30236678.38856750,72925,123.26238000,12907188.70641080,0
1748642400000000,104631.60000000,104804.32000000,103966.32000000,103966.33000000,658.81848000,1748645999999999,68769247.50188200,142757,255.16355000,26642318.86961520,0
1748646000000000,103966.32000000,104260.00000000,103621.00000000,103985.48000000,937.13867000,1748649599999999,97428030.37437710,260754,408.96020000,42524609.48480930,0
