1705449600000,43137.94000000,43175.99000000,43050.01000000,43092.00000000,938.65364000,1705453199999,40459566.51692230,37378,453.71396000,19556963.39877900,0
1705453200000,43092.00000000,43198.00000000,42960.64000000,42970.00000000,868.43470000,1705456799999,37418991.27920610,36427,422.54689000,18212163.55400480,0
1705456800000,42970.01000000,43061.10000000,42918.11000000,42997.25000000,1068.46920000,1705460399999,45946208.58125190,32257,412.77928000,17749442.86659160,0
1705460400000,42997.26000000,43025.71000000,42844.98000000,42849.00000000,836.39500000,1705463999999,35920552.26949000,31067,359.71317000,15450074.41629060,0
1705464000000,42849.00000000,42921.10000000,42781.49000000,42854.01000000,791.39640000,1705467599999,33911017.90652090,32838,411.79546000,17645450.01201050,0
1705467600000,42854.01000000,42925.49000000,42765.41000000,42783.39000000,661.25196000,1705471199999,28333635.53425060,30696,324.66714000,13912609.78380640,0
1705471200000,42783.39000000,42876.34000000,42766.00000000,42806.05000000,802.28142000,1705474799999,34360257.69945620,28881,425.46410000,18221380.54723370,0
1705474800000,42806.05000000,42851.10000000,42619.60000000,42655.94000000,1357.30632000,1705478399999,58019581.23478440,46737,629.23223000,26898591.79560370,0
1705478400000,42655.95000000,42747.65000000,42564.00000000,42728.76000000,1188.18884000,1705481999999,50705137.23679320,52602,622.89057000,26580095.06764970,0
1705482000000,42728.76000000,42830.00000000,42674.00000000,42678.57000000,938.26640000,1705485599999,40133807.73662490,35711,431.49667000,18457818.75627950,0
1705485600000,42678.56000000,42850.55000000,42622.36000000,42850.04000000,1193.04037000,1705489199999,50992942.63212900,45910,595.51275000,25452501.81821170,0
1705489200000,42850.05000000,42850.55000000,42672.95000000,42680.16000000,1093.25163000,1705492799999,46744078.11548180,60902,492.04740000,21038913.20205870,0
1705492800000,42680.16000000,42788.00000000,42411.00000000,42782.43000000,2445.67123000,1705496399999,104256628.10493290,83991,1171.79997000,49958740.47484460,0
1705496400000,42782.42000000,42782.43000000,42518.00000000,42609.84000000,1305.63482000,1705499999999,55679740.09859380,58544,708.53433000,30215473.45019040,0
1705500000000,42609.83000000,42926.02000000,42365.58000000,42576.01000000,3407.69990000,1705503599999,145182249.15456140,143369,1756.31620000,74828674.89067620,0
1705503600000,42576.02000000,42768.00000000,42472.85000000,42482.79000000,2383.89587000,1705507199999,101584572.73909360,109007,1193.75370000,50873510.81515100,0
1705507200000,42482.80000000,42564.13000000,42250.31000000,42360.28000000,2301.05574000,1705510799999,97587690.12537690,89181,1134.23598000,48107147.02589120,0
1705510800000,42360.29000000,42470.32000000,42200.69000000,42371.10000000,1419.22346000,1705514399999,60111435.19266640,65104,714.92080000,30282291.56661840,0
1705514400000,42371.10000000,42612.48000000,42278.98000000,42612.45000000,1471.83973000,1705517999999,62478729.35585940,62455,791.65412000,33606782.55546300,0
1705518000000,42612.46000000,42745.99000000,42555.22000000,42611.11000000,1041.37370000,1705521599999,44403759.72559780,46391,561.39088000,23936980.44875530,0
1705521600000,42611.10000000,42876.48000000,42559.29000000,42722.90000000,2990.71477000,1705525199999,127754991.21500390,157049,1657.22368000,70790194.86724700,0
1705525200000,42722.90000000,42822.96000000,42603.20000000,42676.13000000,1125.24713000,1705528799999,48057504.41196020,71096,582.76247000,24888733.04315770,0
1705528800000,42676.14000000,42729.06000000,42450.00000000,42722.14000000,767.12266000,1705532399999,32694649.17699290,40647,360.12241000,15347668.67116220,0
1705532400000,42722.13000000,42792.48000000,42619.73000000,42776.10000000,869.79899000,1705535999999,37150704.87933870,39932,433.63113000,18520565.01990100,0
