1705536000000,42776.09000000,42784.40000000,42617.31000000,42660.79000000,877.07281000,1705539599999,37458288.35423040,33020,360.42808000,15391793.41537980,0
1705539600000,42660.79000000,42713.92000000,42502.19000000,42584.62000000,814.27639000,1705543199999,34681966.04469250,37756,355.65338000,15149034.03072190,0
1705543200000,42584.61000000,42721.00000000,42584.12000000,42653.82000000,563.69795000,1705546799999,24052090.46407590,27372,247.02830000,10538215.00373370,0
1705546800000,42653.81000000,42676.75000000,42550.00000000,42592.05000000,522.20522000,1705550399999,22250150.85269430,24503,221.00589000,9415436.64698190,0
1705550400000,42592.04000000,42689.95000000,42589.00000000,42665.00000000,550.15100000,1705553999999,23459228.84275050,25728,261.29917000,11142019.46015350,0
1705554000000,42664.99000000,42784.99000000,42634.00000000,42772.87000000,797.44359000,1705557599999,34059778.50111350,33306,424.92899000,18148664.84820840,0
1705557600000,42772.86000000,42873.25000000,42759.13000000,42807.05000000,817.27204000,1705561199999,34992714.52720430,40772,401.33267000,17183048.70451780,0
1705561200000,42807.04000000,42922.00000000,42804.00000000,42915.33000000,1228.24675000,1705564799999,52674846.96966390,42696,599.69771000,25717282.81679300,0
1705564800000,42915.32000000,42930.00000000,42724.00000000,42742.00000000,870.48171000,1705568399999,37283279.60115920,34680,344.36917000,14749602.79343340,0
1705568400000,42742.00000000,42871.85000000,42709.61000000,42743.84000000,958.87490000,1705571999999,41024106.37203320,41480,500.53927000,21414997.04133040,0
1705572000000,42743.85000000,42779.27000000,42388.00000000,42447.66000000,1548.48202000,1705575599999,65936301.46798870,77188,605.94825000,25800262.03265520,0
1705575600000,42447.67000000,42551.10000000,42387.68000000,42544.59000000,1489.29762000,1705579199999,63263723.86756780,53005,802.61117000,34095135.91744260,0
1705579200000,42544.60000000,42547.39000000,42353.80000000,42433.44000000,1113.60163000,1705582799999,47258800.22374990,45276,498.21635000,21141866.41518050,0
1705582800000,42433.45000000,42657.16000000,42362.00000000,42508.00000000,1491.62445000,1705586399999,63367845.31156410,58661,813.62084000,34566369.60256030,0
1705586400000,42508.01000000,42742.00000000,42428.37000000,42738.70000000,1312.17402000,1705589999999,55854586.75909580,80099,698.16300000,29718667.29528560,0
1705590000000,42738.70000000,42810.00000000,42611.10000000,42619.32000000,1369.13154000,1705593599999,58475811.43924130,49916,719.31212000,30721110.59029300,0
1705593600000,42619.31000000,42619.32000000,41736.27000000,41948.99000000,4847.44805000,1705597199999,204071260.29743320,148603,2144.87421000,90289514.44308800,0
1705597200000,41948.99000000,42178.39000000,41500.00000000,41816.71000000,4035.11879000,1705600799999,168730833.18670490,117717,1954.64927000,81770949.22926780,0
1705600800000,41816.71000000,41916.07000000,41370.00000000,41508.95000000,3372.52432000,1705604399999,140169419.53396950,90412,1666.60438000,69268535.40475700,0
1705604400000,41508.95000000,41601.52000000,40831.99000000,41022.32000000,5153.56414000,1705607999999,212495490.69035330,133308,2115.14970000,87297211.00614620,0
1705608000000,41022.33000000,41315.80000000,40683.28000000,40835.60000000,4564.22596000,1705611599999,187019381.23780350,110559,2299.01081000,94237506.07267130,0
1705611600000,40835.60000000,41266.00000000,40757.85000000,41124.00000000,2812.08735000,1705615199999,115340496.73599700,84511,1505.02311000,61735495.08022170,0
1705615200000,41123.99000000,41366.99000000,41076.01000000,41354.67000000,1784.04241000,1705618799999,73609852.09370600,43901,976.88723000,40309530.87067480,0
1705618800000,41354.67000000,41361.00000000,41203.18000000,41327.50000000,1014.47175000,1705622399999,41896287.88878630,31618,568.79029000,23490385.48486590,0
