1701388800000,37723.97000000,37744.72000000,37615.86000000,37682.38000000,714.37747000,1701392399999,26903501.95888410,32419,301.42173000,11350169.13703210,0
1701392400000,37682.39000000,37965.51000000,37640.46000000,37946.02000000,2030.55901000,1701395999999,76888727.83066460,67071,1136.37874000,43023719.50600350,0
1701396000000,37946.01000000,38082.42000000,37871.10000000,37990.80000000,1189.68483000,1701399599999,45171065.63772020,46670,601.42265000,22838764.11767480,0
1701399600000,37990.79000000,38067.77000000,37950.54000000,38043.05000000,999.26423000,1701403199999,37980471.30144140,39211,476.14262000,18097158.80876460,0
1701403200000,38043.04000000,38243.30000000,38022.67000000,38179.86000000,2541.15612000,1701406799999,96936342.59743970,70273,1328.08399000,50659831.56082660,0
1701406800000,38179.86000000,38200.11000000,38092.01000000,38120.84000000,987.47954000,1701410399999,37671397.72676930,42658,419.24435000,15992929.01174550,0
1701410400000,38120.84000000,38220.00000000,38070.10000000,38214.23000000,880.57143000,1701413999999,33579258.35166390,41892,450.78206000,17191196.01501170,0
1701414000000,38214.23000000,38348.00000000,38202.52000000,38244.08000000,2602.65703000,1701417599999,99639913.51168530,72695,1167.07402000,44679382.71893410,0
1701417600000,38244.08000000,38358.00000000,38215.00000000,38313.47000000,1693.38325000,1701421199999,64839353.55814860,60587,881.02608000,33734885.54670140,0
1701421200000,38313.47000000,38718.00000000,38313.47000000,38705.24000000,5348.41803000,1701424799999,206263190.30852480,135320,3206.82168000,123649427.15423980,0
1701424800000,38705.25000000,38833.00000000,38534.98000000,38541.02000000,3117.92983000,1701428399999,120600022.24040620,83926,1673.42024000,64751764.04881620,0
1701428400000,38541.01000000,38659.40000000,38508.89000000,38580.17000000,1194.95019000,1701431999999,46114687.76806140,48353,582.37526000,22473321.88233810,0
1701432000000,38580.17000000,38629.65000000,38300.01000000,38360.95000000,2015.09634000,1701435599999,77490334.95149570,73300,831.10161000,31961698.92281050,0
1701435600000,38360.95000000,38438.81000000,38300.00000000,38367.15000000,1231.37160000,1701439199999,47249828.12922620,55099,661.17135000,25370195.46213730,0
1701439200000,38367.14000000,38396.35000000,38219.00000000,38324.57000000,1671.31641000,1701442799999,64026902.97609050,64329,779.31294000,29852660.80057520,0
1701442800000,38324.58000000,38446.54000000,38293.04000000,38413.50000000,1680.11598000,1701446399999,64505199.24416860,61559,861.27059000,33065251.11325500,0
1701446400000,38413.51000000,38999.00000000,38395.00000000,38801.92000000,4571.59062000,1701449999999,177050425.93990870,139845,2574.53716000,99705189.27066520,0
1701450000000,38801.92000000,38891.84000000,38703.18000000,38799.01000000,2209.39397000,1701453599999,85700454.78250280,90296,1049.57283000,40713876.55697330,0
1701453600000,38799.02000000,38920.00000000,38699.00000000,38703.69000000,1941.11299000,1701457199999,75308491.50949480,73652,985.39073000,38235686.36746820,0
1701457200000,38703.69000000,38784.00000000,38625.61000000,38762.40000000,1178.13810000,1701460799999,45592516.01103220,58764,566.09545000,21907285.45771040,0
1701460800000,38762.40000000,38861.74000000,38711.10000000,38749.62000000,1051.31774000,1701464399999,40765556.47386690,51415,591.86809000,22949546.69447960,0
1701464400000,38749.62000000,38900.00000000,38749.61000000,38776.05000000,998.61759000,1701467999999,38776783.92506890,45108,531.56815000,20641951.93013650,0
1701468000000,38776.05000000,38847.86000000,38692.03000000,38703.86000000,861.78849000,1701471599999,33406478.87090690,36263,428.27573000,16599188.11815060,0
1701471600000,38703.85000000,38737.23000000,38645.00000000,38682.52000000,705.37245000,1701475199999,27289872.01880970,32712,323.91496000,12532339.96074500,0
