1748736000000000,104591.88000000,104647.11000000,104320.02000000,104446.49000000,293.78295000,1748739599999999,30688862.20908260,81426,131.48518000,13734263.47444880,0
1748739600000000,104446.49000000,104505.58000000,103991.37000000,104126.07000000,466.13267000,1748743199999999,48597321.05228810,86577,153.68227000,16026390.67633320,0
1748743200000000,104126.08000000,104324.21000000,103924.52000000,104195.12000000,313.34738000,1748746799999999,32628297.36497210,78286,159.68914000,16630529.97330230,0
1748746800000000,104195.13000000,104464.10000000,103971.70000000,104381.03000000,259.25466000,1748750399999999,27014129.68854010,59060,158.29551000,16498119.39629630,0
1748750400000000,104381.03000000,104729.99000000,104360.90000000,104633.16000000,272.61866000,1748753999999999,28503769.20343810,51894,152.97780000,15993219.07479500,0
1748754000000000,104633.16000000,104714.29000000,104450.00000000,104536.57000000,214.06083000,1748757599999999,22392766.71006080,39907,100.73323000,10538226.40068970,0
1748757600000000,104536.57000000,104536.58000000,104195.12000000,104258.93000000,257.26107000,1748761199999999,26843395.91883380,59936,102.04746000,10646333.61197280,0
1748761200000000,104258.93000000,104370.38000000,104202.48000000,104275.95000000,191.32180000,1748764799999999,19951009.90648020,41555,99.23189000,10347839.78604230,0
1748764800000000,104275.95000000,104386.60000000,104220.70000000,104386.60000000,247.34836000,1748768399999999,25796391.34818410,48734,136.94903000,14282720.67450390,0
1748768400000000,104386.60000000,104459.07000000,103752.49000000,103934.34000000,679.61906000,1748771999999999,70671954.64443130,158481,242.40663000,25206862.63632760,0
1748772000000000,103934.35000000,104040.52000000,103773.69000000,103930.99000000,302.13053000,1748775599999999,31392765.45749010,74097,147.41842000,15317680.32926660,0
1748775600000000,103930.98000000,104152.24000000,103845.46000000,104082.68000000,286.47453000,1748779199999999,29801476.92049330,54950,167.24245000,17397517.03711700,0
1748779200000000,104082.67000000,104190.48000000,103783.01000000,103956.26000000,354.08075000,1748782799999999,36820595.17278340,63820,188.06267000,19561006.71919100,0
1748782800000000,103956.25000000,104424.64000000,103951.61000000,104259.20000000,323.14616000,1748786399999999,33684611.70746210,72939,175.29248000,18270693.36155070,0
1748786400000000,104259.19000000,104773.59000000,104259.19000000,104599.70000000,782.69419000,1748789999999999,81882684.99025310,122857,381.66764000,39925095.80656060,0
1748790000000000,104599.70000000,104809.53000000,104502.99000000,104715.10000000,409.06118000,1748793599999999,42824799.38657390,74103,179.45948000,18788236.21411760,0
1748793600000000,104715.10000000,105299.21000000,104659.47000000,105038.80000000,1174.85040000,1748797199999999,123464322.88067470,163128,591.08572000,62109997.73151400,0
1748797200000000,105038.80000000,105192.99000000,104986.20000000,105066.33000000,319.00519000,1748800799999999,33522674.18629170,66223,126.70809000,13315963.80871680,0
1748800800000000,105066.34000000,105066.34000000,104319.79000000,104900.01000000,575.53740000,1748804399999999,60264914.09137680,121830,275.58897000,28858471.17320910,0
1748804400000000,104900.01000000,105156.73000000,104805.44000000,105121.94000000,361.59685000,1748807999999999,37964676.28089640,71578,168.02083000,17640911.45294560,0
1748808000000000,105121.95000000,105300.00000000,104893.72000000,104948.91000000,324.69341000,1748811599999999,34125381.59830510,60800,144.75860000,15217105.26258610,0
1748811600000000,104948.91000000,105504.67000000,104926.82000000,105496.54000000,414.58616000,1748815199999999,43637577.41463890,68691,227.65069000,23956435.21562110,0
1748815200000000,105496.54000000,105737.84000000,105414.63000000,105512.18000000,474.08063000,1748818799999999,50049837.19428120,120760,208.90746000,22054667.31286450,0
1748818800000000,105512.17000000,105866.91000000,105466.39000000,105642.93000000,413.01524000,1748822399999999,43664271.62276770,97727,220.98906000,23365179.80481170,0
