1672531200000,16541.77000000,16544.76000000,16520.00000000,16520.69000000,1172.53835000,1672532099999,19384546.35314420,37484,553.35053000,9148049.50224960,0
1672532100000,16521.26000000,16545.70000000,16517.72000000,16544.19000000,1102.62888000,1672532999999,18229816.94388640,33528,588.35947000,9727374.91925640,0
1672533000000,16544.19000000,16544.61000000,16508.39000000,16515.43000000,1365.65633000,1672533899999,22565292.32853300,48518,664.46239000,10979132.11034350,0
1672533900000,16515.91000000,16536.84000000,16515.43000000,16529.67000000,724.01214000,1672534799999,11966637.96115930,30324,373.77533000,6177796.33850770,0
1672534800000,16529.59000000,16541.80000000,16525.78000000,16538.21000000,977.24680000,1672535699999,16158676.33389400,32200,458.02292000,7573419.42840200,0
1672535700000,16537.68000000,16540.82000000,16530.76000000,16534.60000000,661.68521000,1672536599999,10941202.31451270,27617,302.49773000,5002019.58632340,0
1672536600000,16534.02000000,16543.38000000,16530.62000000,16539.94000000,792.69185000,1672537499999,13108646.25853330,30170,388.61598000,6426522.64510070,0
1672537500000,16539.94000000,16556.80000000,16538.03000000,16551.47000000,1158.44283000,1672538399999,19168232.43766920,36569,581.11238000,9615454.34503820,0
1672538400000,16551.47000000,16551.59000000,16539.57000000,16549.03000000,903.09653000,1672539299999,14940888.34215480,30782,437.35249000,7235663.85185990,0
1672539300000,16549.02000000,16555.00000000,16546.48000000,16552.89000000,804.41804000,1672540199999,13313376.72144630,28821,408.71856000,6764457.50029530,0
1672540200000,16552.89000000,16559.77000000,16538.38000000,16538.77000000,879.62878000,1672541099999,14558786.37954970,29971,395.88107000,6552542.27711900,0
1672541100000,16538.77000000,16549.12000000,16538.14000000,16548.19000000,731.69703000,1672541999999,12106401.93247050,25824,369.17090000,6108204.23846230,0
1672542000000,16548.19000000,16548.19000000,16523.34000000,16527.87000000,1559.42213000,1672542899999,25779531.59857580,46903,727.02409000,12018518.59245230,0
1672542900000,16527.44000000,16533.09000000,16518.21000000,16529.89000000,1253.37828000,1672543799999,20712974.26200320,40230,625.41291000,10335658.01805290,0
1672543800000,16529.89000000,16537.42000000,16526.74000000,16533.68000000,726.21190000,1672544699999,12006193.54018000,25769,394.39364000,6520457.15503240,0
1672544700000,16533.68000000,16537.72000000,16529.53000000,16533.04000000,703.06819000,1672545599999,11623842.53669540,24822,349.26223000,5774410.71959280,0
1672545600000,16533.04000000,16535.97000000,16524.57000000,16526.12000000,840.02655000,1672546499999,13885835.31381660,27254,393.50205000,6504744.69971690,0
1672546500000,16526.12000000,16530.25000000,16516.49000000,16518.59000000,1411.33708000,1672547399999,23319515.30507330,37070,718.79088000,11876756.98919200,0
1672547400000,16518.31000000,16525.95000000,16517.58000000,16519.47000000,848.75887000,1672548299999,14023232.07750640,28982,446.02656000,7369361.55780770,0
1672548300000,16519.96000000,16526.99000000,16511.92000000,16521.85000000,1184.88659000,1672549199999,19574061.78174830,36229,630.08226000,10408954.77735460,0
1672549200000,16522.22000000,16524.00000000,16512.30000000,16518.37000000,1026.47060000,1672550099999,16956250.07581190,31761,514.48770000,8499013.80417250,0
1672550100000,16518.77000000,16522.66000000,16512.31000000,16521.07000000,1022.11408000,1672550999999,16883012.78041170,32390,531.68047000,8782336.29141210,0
1672551000000,16521.42000000,16522.75000000,16514.79000000,16520.02000000,669.28025000,1672551899999,11055605.08645670,24219,349.10466000,5766811.09082010,0
1672551900000,16520.03000000,16534.98000000,16518.85000000,16530.71000000,999.50685000,1672552799999,16517349.18469740,30171,530.38300000,8764730.39905150,0
