1613433600000,47911.10000000,47958.40000000,47414.19000000,47609.90000000,1260.79026500,1613434499999,60123915.33009663,33339,596.98702300,28469692.24303382,0
1613434500000,47609.90000000,47800.00000000,47447.22000000,47640.73000000,672.54388600,1613435399999,32052666.72189300,19316,364.50561800,17372138.37539182,0
1613435400000,47638.26000000,47675.04000000,47003.62000000,47566.04000000,1477.01247400,1613436299999,69916202.56474956,35890,760.11381400,35996898.33812340,0
1613436300000,47569.68000000,47764.46000000,47552.46000000,47669.02000000,1036.53600500,1613437199999,49427325.94764850,19593,401.14549100,19127905.01672377,0
1613437200000,47669.03000000,47792.01000000,47605.96000000,47664.97000000,522.63753100,1613438099999,24928972.88519449,13095,218.95117800,10443594.48186926,0
1613438100000,47660.19000000,48271.79000000,47608.31000000,48170.01000000,781.16052700,1613438999999,37503094.84813326,22945,444.47338500,21337944.62213705,0
1613439000000,48170.01000000,48250.00000000,47941.94000000,48137.31000000,735.03767800,1613439899999,35356111.22526707,17650,300.07258200,14434916.67610270,0
1613439900000,48137.32000000,48319.33000000,48038.45000000,48305.28000000,547.27282600,1613440799999,26351880.21333721,13845,252.57791900,12163488.17015274,0
1613440800000,48305.28000000,48428.48000000,48160.12000000,48384.64000000,826.79245000,1613441699999,39932242.95285166,17459,323.16037200,15603191.10064318,0
1613441700000,48384.64000000,48561.64000000,48331.80000000,48483.65000000,536.63883100,1613442599999,26003351.84298442,17788,273.29212200,13244083.66600630,0
1613442600000,48483.65000000,48500.00000000,48310.07000000,48399.99000000,396.52900400,1613443499999,19200756.77671123,13250,178.64719400,8650789.29789675,0
1613443500000,48399.99000000,48689.25000000,48366.40000000,48442.06000000,532.29918600,1613444399999,25833394.92097861,15164,314.88459400,15284807.15087856,0
1613444400000,48442.05000000,48600.93000000,48405.11000000,48570.18000000,340.59636400,1613445299999,16523419.08755580,11694,172.65432700,8375990.29356962,0
1613445300000,48570.19000000,49400.00000000,48570.19000000,49317.87000000,2235.27730800,1613446199999,109753534.89759852,52643,1459.66226700,71668304.99825231,0
1613446200000,49317.86000000,49670.00000000,49287.38000000,49333.84000000,2054.50213000,1613447099999,101675989.01168860,47988,1266.66066300,62697790.70302403,0
1613447100000,49333.83000000,49644.89000000,49160.01000000,49624.03000000,1165.26335300,1613447999999,57535418.36698636,25210,668.28339800,32998235.90818102,0
1613448000000,49624.02000000,49643.30000000,49300.41000000,49606.70000000,801.16277700,1613448899999,39649999.29464766,22307,416.05924600,20592356.04701388,0
1613448900000,49606.69000000,49998.00000000,49232.42000000,49509.25000000,2838.29631500,1613449799999,141013069.58444908,58153,1663.82950100,82722367.77663870,0
1613449800000,49509.26000000,49726.35000000,49350.00000000,49378.68000000,927.93540200,1613450699999,46000403.08736803,20829,540.83307000,26816507.65321947,0
1613450700000,49378.68000000,49451.96000000,49068.41000000,49350.01000000,890.31849900,1613451599999,43899907.09182037,20906,451.98715000,22284739.18734034,0
1613451600000,49350.01000000,49500.00000000,49044.00000000,49383.46000000,910.75818700,1613452499999,44911006.80070231,19986,537.77719300,26524340.31326118,0
1613452500000,49383.47000000,49439.02000000,49175.36000000,49255.19000000,598.65696900,1613453399999,29537550.72315399,14347,266.84955100,13162415.38645062,0
1613453400000,49255.19000000,49301.45000000,48969.00000000,49273.19000000,827.51536900,1613454299999,40695842.89069999,18790,525.46215100,25847829.69367583,0
1613454300000,49273.19000000,49273.19000000,49050.00000000,49179.03000000,600.17180900,1613455199999,29494479.67021418,15597,316.44696500,15551698.58024838,0
1613455200000,49179.04000000,49234.70000000,49000.01000000,49157.41000000,435.15110500,1613456099999,21377186.43628260,13285,257.59350100,12654871.52035779,0
1613456100000,49157.42000000,49158.01000000,48550.00000000,48749.12000000,1261.83440000,1613456999999,61596727.83573330,27547,530.87961200,25911206.47927943,0
1613457000000,48749.12000000,49075.45000000,48700.01000000,48885.80000000,920.93360400,1613457899999,45024196.37839198,20668,420.47949200,20557459.04493533,0
1613457900000,48882.26000000,49063.61000000,48861.06000000,49023.74000000,673.84192000,1613458799999,33001487.00126232,13660,359.83806300,17623484.07685798,0
