1659312000000,1678.12000000,1690.58000000,1672.63000000,1688.31000000,29663.50470000,1659315599999,49841897.69020300,34796,15165.95190000,25489021.14864500,0
1659315600000,1688.32000000,1699.08000000,1683.76000000,1696.74000000,19071.98610000,1659319199999,32267370.31261200,26320,9837.44630000,16646186.16289500,0
1659319200000,1696.74000000,1704.68000000,1690.32000000,1695.04000000,17712.36430000,1659322799999,30044326.21547500,24071,8758.18310000,14858035.15675300,0
1659322800000,1695.04000000,1696.79000000,1682.36000000,1691.77000000,13733.94850000,1659326399999,23196291.32918600,21185,6754.51770000,11408443.02110000,0
1659326400000,1691.78000000,1697.00000000,1688.46000000,1695.00000000,10086.58890000,1659329999999,17075733.87039400,16907,5157.61200000,8730825.39952000,0
1659330000000,1695.01000000,1697.22000000,1684.17000000,1692.00000000,14561.82330000,1659333599999,24607196.86804500,21005,7074.43710000,11956474.21662700,0
1659333600000,1691.99000000,1692.61000000,1675.09000000,1685.31000000,22939.17370000,1659337199999,38579897.31027500,31072,10564.74670000,17770903.48835300,0
1659337200000,1685.31000000,1696.94000000,1672.79000000,1692.87000000,27334.13540000,1659340799999,45983372.74804000,32866,14140.80070000,23800751.89425600,0
1659340800000,1692.88000000,1695.36000000,1681.55000000,1683.30000000,13607.59060000,1659344399999,22976915.67330700,23322,6296.69660000,10634093.43030500,0
1659344400000,1683.31000000,1692.45000000,1681.76000000,1686.89000000,11084.33480000,1659347999999,18717988.34449000,20033,5271.23230000,8901144.26670500,0
1659348000000,1686.90000000,1688.28000000,1647.33000000,1657.44000000,46778.25000000,1659351599999,78001372.53239300,53596,18229.07800000,30405259.45209700,0
1659351600000,1657.44000000,1670.00000000,1641.09000000,1668.21000000,41431.67500000,1659355199999,68618700.25317600,50756,21804.77110000,36124863.27783500,0
1659355200000,1668.21000000,1678.21000000,1653.28000000,1656.46000000,26407.04470000,1659358799999,43968190.41345000,37479,12235.78030000,20379760.00843800,0
1659358800000,1656.45000000,1672.39000000,1636.47000000,1666.01000000,63482.17820000,1659362399999,104852098.54207600,74717,30746.49490000,50805515.63060900,0
1659362400000,1666.02000000,1690.59000000,1663.57000000,1685.69000000,66544.38640000,1659365999999,111754476.43248000,77857,35822.02680000,60162107.37074000,0
1659366000000,1685.69000000,1687.99000000,1666.17000000,1672.60000000,36227.54610000,1659369599999,60717207.37759600,43308,18422.36650000,30870768.80156500,0
1659369600000,1672.59000000,1673.59000000,1652.33000000,1655.28000000,52840.89750000,1659373199999,87728170.99466200,81260,23272.55820000,38637449.81603300,0
1659373200000,1655.28000000,1655.75000000,1623.51000000,1633.33000000,87170.47640000,1659376799999,142559147.93608600,91701,41029.78270000,67082341.53037800,0
1659376800000,1633.32000000,1636.00000000,1615.99000000,1627.23000000,46206.54050000,1659380399999,75147390.29476700,58704,23160.18470000,37666834.42775700,0
1659380400000,1627.24000000,1633.90000000,1617.00000000,1622.27000000,33380.98030000,1659383999999,54230446.96776200,40494,16689.25880000,27115599.47521200,0
1659384000000,1622.28000000,1630.74000000,1609.00000000,1628.20000000,30965.51960000,1659387599999,50211348.40229000,42729,15796.82710000,25620977.12551500,0
1659387600000,1628.20000000,1634.20000000,1618.37000000,1624.25000000,19727.57640000,1659391199999,32068398.03668800,30496,10753.58690000,17485399.12265600,0
1659391200000,1624.25000000,1631.50000000,1606.12000000,1628.70000000,31411.84360000,1659394799999,50891140.76755100,44343,15177.94880000,24592931.33386800,0
1659394800000,1628.70000000,1644.14000000,1622.93000000,1630.28000000,39196.19980000,1659398399999,64097129.64645000,50553,20612.79560000,33713382.61731200,0
