1717200000000,3762.29000000,3768.66000000,3752.67000000,3764.15000000,6432.97270000,1717203599999,24202516.73581600,14361,3448.40390000,12973847.99702800,0
1717203600000,3764.15000000,3776.19000000,3759.22000000,3766.79000000,5351.12080000,1717207199999,20156579.55837400,13940,2666.23470000,10043757.42738700,0
1717207200000,3766.79000000,3779.36000000,3766.00000000,3777.79000000,3479.61360000,1717210799999,13125496.75026700,11503,1810.30200000,6828959.03235100,0
1717210800000,3777.79000000,3782.07000000,3774.51000000,3778.98000000,3898.75890000,1717214399999,14731974.11646900,11127,2029.39980000,7668492.30475300,0
1717214400000,3778.98000000,3785.26000000,3771.19000000,3784.35000000,3846.35420000,1717217999999,14533519.70397500,10727,2180.12810000,8238632.63442400,0
1717218000000,3784.35000000,3794.11000000,3778.33000000,3789.79000000,6063.08240000,1717221599999,22959051.06865400,29483,3365.90550000,12746363.63972200,0
1717221600000,3789.79000000,3791.81000000,3782.31000000,3788.84000000,5030.04550000,1717225199999,19045470.60392600,11848,2246.75150000,8508068.88422000,0
1717225200000,3788.84000000,3790.67000000,3770.31000000,3773.00000000,4903.54830000,1717228799999,18541277.11863400,21103,1935.74780000,7320618.29577700,0
1717228800000,3772.99000000,3802.00000000,3772.43000000,3799.11000000,11748.86940000,1717232399999,44490696.52891600,22058,6041.10160000,22874137.77589600,0
1717232400000,3799.11000000,3809.55000000,3788.48000000,3793.14000000,8704.61850000,1717235999999,33054847.92034600,41774,5203.90810000,19762493.11370600,0
1717236000000,3793.14000000,3796.05000000,3784.07000000,3785.99000000,3260.14530000,1717239599999,12356708.75468600,11657,1532.36310000,5808121.77270300,0
1717239600000,3785.99000000,3793.39000000,3782.07000000,3788.28000000,4303.15930000,1717243199999,16301558.27499000,12734,2065.34050000,7824106.70450000,0
1717243200000,3788.28000000,3806.97000000,3787.00000000,3795.71000000,6240.39490000,1717246799999,23694317.04668100,17139,3521.27670000,13368785.76406300,0
1717246800000,3795.71000000,3809.80000000,3795.30000000,3802.01000000,5232.44550000,1717250399999,19905417.72015600,15640,3003.17080000,11423943.55121600,0
1717250400000,3802.01000000,3814.67000000,3797.00000000,3809.66000000,5739.49960000,1717253999999,21848057.02924300,17948,3074.94410000,11706774.47343200,0
1717254000000,3809.66000000,3812.69000000,3798.17000000,3798.60000000,5988.18080000,1717257599999,22793413.91300800,17565,2697.73500000,10271016.82811100,0
1717257600000,3798.60000000,3806.43000000,3794.15000000,3799.00000000,5596.90920000,1717261199999,21270964.38263900,17964,2947.54100000,11202275.25101300,0
1717261200000,3799.00000000,3809.09000000,3790.21000000,3807.01000000,5935.67760000,1717264799999,22545429.75631600,17024,3646.75360000,13852880.63243700,0
1717264800000,3807.01000000,3809.81000000,3797.71000000,3802.00000000,4140.38780000,1717268399999,15740075.81164200,13162,1896.66350000,7209914.11491100,0
1717268400000,3801.99000000,3806.73000000,3797.15000000,3804.51000000,2493.45320000,1717271999999,9481008.99800200,10260,1267.37730000,4818807.05508300,0
1717272000000,3804.50000000,3807.50000000,3799.00000000,3806.78000000,3852.66610000,1717275599999,14651691.48880700,11145,1821.78550000,6928585.48147900,0
1717275600000,3806.78000000,3822.00000000,3805.50000000,3815.51000000,7398.45060000,1717279199999,28214159.35956500,19087,4712.78730000,17974355.52852900,0
1717279200000,3815.50000000,3833.30000000,3815.50000000,3821.86000000,8282.80560000,1717282799999,31671435.81722200,19581,4919.35580000,18810588.80358100,0
1717282800000,3821.86000000,3823.39000000,3813.12000000,3815.82000000,4764.04080000,1717286399999,18184954.37952200,10547,2332.63260000,8903032.98456100,0
