1577836800000,129.16000000,129.19000000,128.68000000,128.87000000,7769.17336000,1577840399999,1000929.74221140,2504,4149.93345000,534619.33896550,0
1577840400000,128.87000000,130.65000000,128.78000000,130.64000000,11344.65516000,1577843999999,1474278.48163660,4885,5930.54276000,770486.05667730,0
1577844000000,130.63000000,130.98000000,130.35000000,130.85000000,7603.35623000,1577847599999,994025.61405700,3046,3324.35218000,434675.44465540,0
1577847600000,130.85000000,130.89000000,129.94000000,130.20000000,4968.55433000,1577851199999,647360.95286070,2818,1810.03564000,235890.33019660,0
1577851200000,130.21000000,130.74000000,130.15000000,130.20000000,3397.90747000,1577854799999,443006.65068500,2264,1839.74371000,239848.34833520,0
1577854800000,130.20000000,130.47000000,130.11000000,130.30000000,4243.60640000,1577858399999,552972.70799910,2426,1903.34492000,248056.95630660,0
1577858400000,130.31000000,130.75000000,130.26000000,130.44000000,3668.90166000,1577861999999,478944.15894550,2347,2049.58504000,267540.78422700,0
1577862000000,130.47000000,130.71000000,130.14000000,130.24000000,4147.17413000,1577865599999,540770.74054880,2568,2099.12905000,273719.60439750,0
1577865600000,130.24000000,130.41000000,129.87000000,130.36000000,7541.44497000,1577869199999,980893.96881450,3039,3767.79178000,490054.23553520,0
1577869200000,130.40000000,130.62000000,130.13000000,130.17000000,4808.20496000,1577872799999,626819.04264970,2696,2444.93206000,318758.21994370,0
1577872800000,130.17000000,130.82000000,130.07000000,130.70000000,4625.50170000,1577876399999,603575.62202230,2618,2056.89773000,268377.99133510,0
1577876400000,130.67000000,131.87000000,130.60000000,130.74000000,10847.79032000,1577879999999,1424063.18616420,5977,5888.77446000,773357.20602680,0
1577880000000,130.74000000,131.61000000,130.70000000,131.61000000,4163.30667000,1577883599999,546070.76602150,2862,2614.85418000,343039.95849380,0
1577883600000,131.60000000,131.90000000,131.28000000,131.68000000,7160.65302000,1577887199999,942366.92611300,3633,4431.55492000,583217.86517960,0
1577887200000,131.66000000,132.37000000,131.24000000,131.96000000,7325.25762000,1577890799999,966235.35346920,3338,3312.40021000,436976.74144130,0
1577890800000,131.95000000,132.40000000,131.60000000,132.08000000,5361.06926000,1577894399999,707383.03860440,3148,3190.72108000,420971.80409640,0
1577894400000,132.08000000,132.95000000,131.78000000,132.85000000,6915.20906000,1577897999999,914643.39792570,3642,4018.76650000,531730.11345280,0
1577898000000,132.86000000,133.05000000,132.27000000,132.34000000,5424.00732000,1577901599999,719397.70594220,3135,3304.17444000,438274.58711840,0
1577901600000,132.34000000,132.46000000,131.57000000,132.04000000,5707.79340000,1577905199999,753243.74260360,2931,2304.18730000,304050.07127500,0
1577905200000,132.04000000,132.16000000,131.62000000,131.86000000,2111.21443000,1577908799999,278355.74804900,1995,997.52946000,131502.50567310,0
1577908800000,131.86000000,132.25000000,131.70000000,132.18000000,2014.79285000,1577912399999,266048.41148680,1988,1021.42474000,134902.80880100,0
1577912400000,132.17000000,132.37000000,131.68000000,131.78000000,4879.42025000,1577915999999,644006.03569610,2410,1841.37772000,242979.17790180,0
1577916000000,131.82000000,131.82000000,129.90000000,130.27000000,14876.06749000,1577919599999,1943371.93775140,6386,5520.77235000,720974.07096410,0
1577919600000,130.28000000,130.87000000,129.74000000,130.77000000,3865.45991000,1577923199999,503554.59980660,3232,2025.11315000,263935.94006910,0
