1675209600000,1585.32000000,1647.77000000,1555.18000000,1641.68000000,474617.17090000,1675295999999,757974339.88815100,795274,246070.22170000,393191559.89692000,0
1675296000000,1641.67000000,1714.68000000,1626.85000000,1643.12000000,629188.88740000,1675382399999,1052104526.87265700,939545,314689.80730000,526350550.18805000,0
1675382400000,1643.12000000,1676.00000000,1625.93000000,1663.52000000,464815.03200000,1675468799999,766949169.43042200,714675,229573.04490000,378846983.90134100,0
1675468800000,1663.52000000,1695.29000000,1645.43000000,1666.38000000,308227.12950000,1675555199999,514857995.98579800,559308,153457.14200000,256353550.30522300,0
1675555200000,1666.39000000,1673.81000000,1609.30000000,1629.02000000,413579.67480000,1675641599999,680127291.92674400,680427,198540.87760000,326481458.83642700,0
1675641600000,1629.01000000,1658.56000000,1605.01000000,1614.29000000,384119.41970000,1675727999999,626831152.68758600,636588,191802.79320000,313101318.53959700,0
1675728000000,1614.28000000,1678.37000000,1613.14000000,1671.03000000,451922.40000000,1675814399999,743635216.72855200,746572,234924.05250000,386597449.58271800,0
1675814400000,1671.03000000,1697.91000000,1630.47000000,1650.43000000,417966.25390000,1675900799999,695793337.57743500,671033,205938.12070000,342878805.53836600,0
1675900800000,1650.42000000,1656.17000000,1524.40000000,1545.35000000,658011.69640000,1675987199999,1054014372.58339200,973879,317244.93660000,508466128.35203400,0
1675987200000,1545.35000000,1555.01000000,1490.00000000,1513.06000000,484654.21990000,1676073599999,743164643.51149900,682215,220852.49580000,338760669.12876300,0
1676073600000,1513.05000000,1543.00000000,1505.00000000,1538.51000000,289691.57080000,1676159999999,440657107.72833800,440506,141579.89910000,215368016.23377700,0
1676160000000,1538.50000000,1548.02000000,1493.08000000,1514.83000000,286758.37400000,1676246399999,438014692.30803400,490609,134744.97650000,205825023.57418200,0
1676246400000,1514.82000000,1526.10000000,1461.93000000,1505.24000000,643152.39040000,1676332799999,959644223.33507300,788402,306701.29950000,457512045.48224700,0
1676332800000,1505.25000000,1569.00000000,1482.66000000,1555.71000000,668964.37680000,1676419199999,1021642935.31397500,861338,329786.21830000,503918880.17247300,0
1676419200000,1555.70000000,1680.00000000,1542.55000000,1674.92000000,581207.85860000,1676505599999,928452953.94504900,852734,303747.75900000,485366943.87712100,0
1676505600000,1674.92000000,1742.97000000,1633.72000000,1637.84000000,832723.67310000,1676591999999,1408096156.86621600,1220762,422120.24950000,714045600.34428200,0
1676592000000,1637.83000000,1722.00000000,1630.51000000,1693.87000000,579934.66300000,1676678399999,970891863.05829500,940022,298275.53360000,499403199.62122200,0
1676678400000,1693.81000000,1713.13000000,1679.77000000,1691.62000000,267305.78130000,1676764799999,452969773.61025000,457982,131392.36670000,222669375.87025800,0
1676764800000,1691.62000000,1726.59000000,1666.14000000,1679.75000000,401023.04770000,1676851199999,680092027.33129800,634114,198379.91000000,336553647.75458700,0
1676851200000,1679.74000000,1719.89000000,1650.56000000,1703.27000000,451314.83350000,1676937599999,765198951.96357700,752116,233136.76100000,395372679.44045500,0
1676937600000,1703.27000000,1716.66000000,1636.30000000,1659.76000000,520354.46880000,1677023999999,874136698.28459100,837901,261067.83410000,438651496.24860200,0
1677024000000,1659.77000000,1666.95000000,1595.07000000,1643.14000000,528875.48090000,1677110399999,861982489.01657100,887617,261477.29490000,426091167.73571900,0
1677110400000,1643.15000000,1679.00000000,1628.75000000,1650.53000000,501305.97170000,1677196799999,829754759.56551500,849095,250058.09520000,413918144.47803300,0
1677196800000,1650.52000000,1664.66000000,1575.64000000,1607.80000000,512515.49820000,1677283199999,831164574.11824000,829249,244939.45620000,397377091.02658000,0
1677283200000,1607.80000000,1608.98000000,1557.33000000,1594.58000000,290188.03910000,1677369599999,462128193.10439300,532834,144096.23470000,229488719.31488000,0
1677369600000,1594.58000000,1651.26000000,1587.76000000,1641.36000000,308607.99410000,1677455999999,499002379.52012900,544008,153077.93880000,247588746.29951300,0
1677456000000,1641.37000000,1665.22000000,1608.00000000,1633.45000000,431861.41290000,1677542399999,707841123.05760700,679771,215202.89280000,352736478.15414300,0
1677542400000,1633.45000000,1647.52000000,1596.66000000,1605.23000000,393523.16470000,1677628799999,640150766.31120500,626287,192261.47580000,312879269.16716000,0
